clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
426721;823;Genesis 2:8;link;J#M ;qal;605595;W;Conj;;605596;J#M ;Pred;;605597;#M ;Cmpl;;605598;>T&H>DM ;Objc;;;;;;;;;;;;;
426953;1916;Genesis 4:15;link;J#M ;qal;606276;W;Conj;;606277;J#M ;Pred;;606278;JHWH ;Subj;;606279;LQJN ;Cmpl;Adju;606280;>WT ;Objc;;;;;;;;;
427128;2905;Genesis 6:16;link;T#JM ;qal;606842;W;Conj;;606843;PTX HTBH ;Objc;;606844;BYDH ;Cmpl;;606845;T#JM ;Pred;;;;;;;;;;;;;
427351;4444;Genesis 9:23;link;J#JMW ;qal;607560;W;Conj;;607561;J#JMW ;Pred;;607562;<L&#KM #NJHM ;Cmpl;;;;;;;;;;;;;;;;;
427652;6158;Genesis 13:16;link;#MTJ ;qal;608525;W;Conj;;608526;#MTJ ;Pred;;608527;>T&ZR<K ;Objc;;608528;K<PR H>RY ;Cmpl;;;;;;;;;;;;;
428418;9819;Genesis 21:13;link;>#JMNW ;qal;610835;LGWJ ;Cmpl;;610836;>#JMNW ;PreO;;;;;;;;;;;;;;;;;;;;;
428423;9839;Genesis 21:14;link;#M ;qal;610850;#M ;PreC;;610851;<L&#KMH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
428448;9950;Genesis 21:18;link;>#JMNW00;qal;610920;KJ&;Conj;;610921;LGWJ GDWL ;Cmpl;;610922;>#JMNW00;PreO;;;;;;;;;;;;;;;;;
428527;10355;Genesis 22:6;link;J#M ;qal;611178;W;Conj;;611179;J#M ;Pred;;611180;<L&JYXQ BNW ;Cmpl;;;;;;;;;;;;;;;;;
428548;10444;Genesis 22:9;link;J#M ;qal;611237;W;Conj;;611238;J#M ;Pred;;611239;>TW ;Objc;;611240;<L&HMZBX ;Cmpl;;611241;MM<L L<YJM00;Loca;Cmpl;;;;;;;;
428682;11134;Genesis 24:2;link;#JM&;qal;611631;#JM&;Pred;;611632;N> ;Intj;;611633;JDK ;Objc;;611634;TXT JRKJ00;Cmpl;;;;;;;;;;;;;
428708;11284;Genesis 24:9;link;J#M ;qal;611723;W;Conj;;611724;J#M ;Pred;;611725;H<BD ;Subj;;611726;>T&JDW ;Objc;;611727;TXT JRK >BRHM >DNJW ;Cmpl;;;;;;;;;
428821;11760;Genesis 24:33;link;JW#M ;hof;612022;W;Conj;;612023;JW#M ;Pred;;612024;LPNJW ;Cmpl;;;;;;;;;;;;;;;;;
