clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426743;933;Genesis 2:14;link;HLK ;qal;605653;H;Rela;;605654;HLK ;PreC;;605655;QDMT >#WR ;Cmpl;;;;;;;;;;;;;
426822;1319;Genesis 3:8;link;MTHLK ;hit;605891;MTHLK ;PreC;;605892;BGN ;Cmpl;;605893;LRWX HJWM ;Time;;;;;;;;;;;;;
426851;1447;Genesis 3:14;link;TLK ;qal;605970;<L&GXNK ;Cmpl;;605971;TLK ;Pred;;;;;;;;;;;;;;;;;
427047;2422;Genesis 5:22;link;JTHLK ;hit;606576;W;Conj;;606577;JTHLK ;Pred;;606578;XNWK ;Subj;;606579;>T&H>LHJM ;Cmpl;;606582;#L# M>WT #NH ;Time;;;;;
427051;2453;Genesis 5:24;link;JTHLK ;hit;606590;W;Conj;;606591;JTHLK ;Pred;;606592;XNWK ;Subj;;606593;>T&H>LHJM ;Cmpl;;;;;;;;;
427107;2779;Genesis 6:9;link;HTHLK&;hit;606769;>T&H>LHJM ;Cmpl;;606770;HTHLK&;Pred;;606771;NX00;Subj;;;;;;;;;;;;;
427194;3405;Genesis 7:18;link;TLK ;qal;607057;W;Conj;;607058;TLK ;Pred;;607059;HTBH ;Subj;;607060;<L&PNJ HMJM00;Cmpl;;;;;;;;;
427218;3596;Genesis 8:3;link;HLWK ;qal;607138;W;Conj;;607139;J#BW ;Pred;;607140;HMJM ;Subj;;607141;M<L H>RY ;Cmpl;;607142;HLWK W#WB ;Modi;Adju;;;;
427221;3632;Genesis 8:5;link;HLWK ;qal;607153;W;Conj;;607154;HMJM ;Subj;;607155;HJW ;Pred;;607156;HLWK WXSWR ;PreC;;607157;<D HXD# H<#JRJ ;Time;;;;;
427352;4449;Genesis 9:23;link;JLKW ;qal;607563;W;Conj;;607564;JLKW ;Pred;;607565;>XRNJT ;Cmpl;;;;;;;;;;;;;
427519;5458;Genesis 11:31;link;LKT ;qal;608087;LLKT ;Pred;;608088;>RYH KN<N ;Cmpl;;;;;;;;;;;;;;;;;
427525;5487;Genesis 12:1;link;LK&;qal;608107;LK&;Pred;;608108;LK ;Supp;Adju;608109;M>RYK WMMWLDTK WMBJT >BJK ;Cmpl;;608110;>L&H>RY ;Cmpl;;;;;;;;;
427534;5530;Genesis 12:4;link;JLK ;qal;608134;W;Conj;;608135;JLK ;Pred;;608136;>BRM ;Subj;;;;;;;;;;;;;
427536;5538;Genesis 12:4;link;JLK ;qal;608141;W;Conj;;608142;JLK ;Pred;;608143;>TW ;Adju;;608144;LWV ;Subj;;;;;;;;;
427543;5581;Genesis 12:5;link;LKT ;qal;608161;LLKT ;Pred;;608162;>RYH KN<N ;Cmpl;;;;;;;;;;;;;;;;;
427558;5666;Genesis 12:9;link;HLWK ;qal;608213;W;Conj;;608214;JS< ;Pred;;608215;>BRM ;Subj;;608216;HLWK WNSW< ;Modi;Adju;608217;HNGBH00;Cmpl;;;;;
427599;5847;Genesis 12:19;link;LK00;qal;608344;W;Conj;;608345;LK00;Pred;;;;;;;;;;;;;;;;;
