clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
426943;1877;Genesis 4:13;link;N#>00;qal;606250;MN#>00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427190;3384;Genesis 7:17;link;J#>W ;qal;607044;W;Conj;;607045;J#>W ;Pred;;607046;>T&HTBH ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
427614;5953;Genesis 13:6;link;N#> ;qal;608400;W;Conj;;608401;L>&;Nega;;608402;N#> ;Pred;;608403;>TM ;Objc;;608404;H>RY ;Subj;;;;;;;;;;;;;;;;;
427630;6038;Genesis 13:10;link;J#>&;qal;608453;W;Conj;;608454;J#>&;Pred;;608455;LWV ;Subj;;608456;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;
427645;6124;Genesis 13:14;link;#> ;qal;608505;#> ;Pred;;608506;N> ;Intj;;608507;<JNJK ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
427965;7817;Genesis 18:2;link;J#> ;qal;609484;W;Conj;;609485;J#> ;Pred;;609486;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
428069;8216;Genesis 18:24;link;T#> ;qal;609771;W;Conj;;609772;L>&;Nega;;609773;T#> ;Pred;;609774;LMQWM ;Cmpl;Adju;609775;LM<N XM#JM HYDJQM ;Adju;;;;;;;;;;;;;;;;;
428079;8273;Genesis 18:26;link;N#>TJ ;qal;609804;W;Conj;;609805;N#>TJ ;Pred;;609806;LKL&HMQWM ;Cmpl;Adju;609807;B<BWRM00;Adju;;;;;;;;;;;;;;;;;;;;;
428231;8893;Genesis 19:21;link;N#>TJ ;qal;610237;HNH ;Intj;;610238;N#>TJ ;Pred;;610239;PNJK ;Objc;;610240;GM LDBR HZH ;Adju;;;;;;;;;;;;;;;;;;;;;
428435;9896;Genesis 21:16;link;T#> ;qal;610884;W;Conj;;610885;T#> ;Pred;;610886;>T&QLH ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
428446;9937;Genesis 21:18;link;#>J ;qal;610914;#>J ;Pred;;610915;>T&HN<R ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428519;10312;Genesis 22:4;link;J#> ;qal;611149;W;Conj;;611150;J#> ;Pred;;611151;>BRHM ;Subj;;611152;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;
428563;10512;Genesis 22:13;link;J#> ;qal;611284;W;Conj;;611285;J#> ;Pred;;611286;>BRHM ;Subj;;611287;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;
428960;12336;Genesis 24:63;link;J#> ;qal;612416;W;Conj;;612417;J#> ;Pred;;612418;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
428963;12345;Genesis 24:64;link;T#> ;qal;612425;W;Conj;;612426;T#> ;Pred;;612427;RBQH ;Subj;;612428;>T&<JNJH ;Objc;;;;;;;;;;;;;;;;;;;;;
429241;13669;Genesis 27:3;link;#>&;qal;613279;#>&;Pred;;613280;N> ;Intj;;613281;KLJK TLJK WQ#TK ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
429423;14323;Genesis 27:38;link;J#> ;qal;613765;W;Conj;;613766;J#> ;Pred;;613767;<#W ;Subj;;613768;QLW ;Objc;;;;;;;;;;;;;;;;;;;;;
429555;14948;Genesis 29:1;link;J#> ;qal;614177;W;Conj;;614178;J#> ;Pred;;614179;J<QB ;Subj;;614180;RGLJW ;Objc;;;;;;;;;;;;;;;;;;;;;
429602;15164;Genesis 29:11;link;J#> ;qal;614315;W;Conj;;614316;J#> ;Pred;;614317;>T&QLW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
429901;16535;Genesis 31:10;link;>#> ;qal;615275;W;Conj;;615276;>#> ;Pred;;615277;<JNJ ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
429910;16568;Genesis 31:12;link;#>&;qal;615299;#>&;Pred;;615300;N> ;Intj;;615301;<JNJK ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
429935;16675;Genesis 31:17;link;J#> ;qal;615374;W;Conj;;615375;J#> ;Pred;;615376;>T&BNJW W>T&N#JW ;Objc;;615377;<L&HGMLJM00;Cmpl;;;;;;;;;;;;;;;;;;;;;
430183;17864;Genesis 32:21;link;J#> ;qal;616112;>WLJ ;Modi;;616113;J#> ;Pred;;616114;PNJ00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
430231;18074;Genesis 33:1;link;J#> ;qal;616252;W;Conj;;616253;J#> ;Pred;;616254;J<QB ;Subj;;616255;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;
430248;18155;Genesis 33:5;link;J#> ;qal;616302;W;Conj;;616303;J#> ;Pred;;616304;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
430565;19668;Genesis 36:7;link;#>T ;qal;617259;L#>T ;Pred;;617260;>TM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430762;20621;Genesis 37:25;link;J#>W ;qal;617819;W;Conj;;617820;J#>W ;Pred;;617821;<JNJHM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
430765;20634;Genesis 37:25;link;N#>JM ;qal;617829;W;Conj;;617830;GMLJHM ;Subj;;617831;N#>JM ;PreC;;617832;NK>T WYRJ WLV ;Objc;;;;;;;;;;;;;;;;;;;;;
430996;21561;Genesis 39:7;link;T#> ;qal;618503;W;Conj;;618504;T#> ;Pred;;618505;>#T&>DNJW ;Subj;;618506;>T&<JNJH ;Objc;;618507;>L&JWSP ;Cmpl;;;;;;;;;;;;;;;;;
431121;22133;Genesis 40:13;link;J#> ;qal;618874;B<WD #L#T JMJM ;Time;;618875;J#> ;Pred;;618876;PR<H ;Subj;;618877;>T&R>#K ;Objc;;;;;;;;;;;;;;;;;;;;;
431146;22261;Genesis 40:19;link;J#> ;qal;618952;B<WD #L#T JMJM ;Time;;618953;J#> ;Pred;;618954;PR<H ;Subj;;618955;>T&R>#K ;Objc;;618956;M<LJK ;Cmpl;;;;;;;;;;;;;;;;;
431152;22298;Genesis 40:20;link;J#> ;qal;618975;W;Conj;;618976;J#> ;Pred;;618977;>T&R># #R HM#QJM W>T&R># #R H>PJM ;Objc;;618978;BTWK <BDJW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
431473;23872;Genesis 42:26;link;J#>W ;qal;619953;W;Conj;;619954;J#>W ;Pred;;619955;>T&#BRM ;Objc;;619956;<L&XMRJHM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
431674;24702;Genesis 43:29;link;J#> ;qal;620544;W;Conj;;620545;J#> ;Pred;;620546;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
431701;24811;Genesis 43:34;link;J#> ;qal;620618;W;Conj;;620619;J#> ;Pred;;620620;M#>T M>T PNJW ;Objc;BoundErr;620621;>LHM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
431710;24848;Genesis 44:1;link;#>T ;qal;620642;#>T ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431942;25819;Genesis 45:19;link;N#>TM ;qal;621325;W;Conj;;621326;N#>TM ;Pred;;621327;>T&>BJKM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
431953;25884;Genesis 45:23;link;N#>JM ;qal;621365;N#>JM ;PreC;;621366;MVWB MYRJM ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431954;25891;Genesis 45:23;link;N#>T ;qal;621367;N#>T ;PreC;;621368;BR WLXM WMZWN L>BJW LDRK00;Objc;BoundErr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431971;25969;Genesis 45:27;link;#>T ;qal;621418;L#>T ;Pred;;621419;>TW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431997;26064;Genesis 46:5;link;J#>W ;qal;621488;W;Conj;;621489;J#>W ;Pred;;621490;BNJ&J#R>L ;Subj;;621491;>T&J<QB >BJHM W>T&VPM W>T&N#JHM ;Objc;;621492;B<GLWT ;Cmpl;Adju;;;;;;;;;;;;;;;;
431999;26083;Genesis 46:5;link;#>T ;qal;621496;L#>T ;Pred;;621497;>TW00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
