clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
426628;313;Genesis 1:17;link;JTN ;qal;605315;W;Conj;;605316;JTN ;Pred;;605317;>TM ;Objc;;605318;>LHJM ;Subj;;605319;BRQJ< H#MJM ;Cmpl;;;;;;;;;;;;;
426681;592;Genesis 1:29;link;NTTJ ;qal;605469;HNH ;Intj;;605470;NTTJ ;Pred;;605471;LKM ;Cmpl;;605472;>T&KL&<#B W>T&KL&H<Y ;Objc;;;;;;;;;;;;;;;;;
426814;1289;Genesis 3:6;link;TTN ;qal;605867;W;Conj;;605868;TTN ;Pred;;605869;GM&L>J#H ;Cmpl;;605870;<MH ;Adju;;;;;;;;;;;;;;;;;
426840;1394;Genesis 3:12;link;NTTH ;qal;605938;>#R ;Rela;;605939;NTTH ;Pred;;605940;<MDJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
426841;1397;Genesis 3:12;link;NTNH&;qal;605941;HW> ;Subj;;605942;NTNH&;Pred;;605943;LJ ;Adju;;605944;MN&H<Y ;Cmpl;;;;;;;;;;;;;;;;;
426939;1859;Genesis 4:12;link;TT&;qal;606238;TT&;Pred;;606239;KXH ;Objc;;606240;LK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427287;4083;Genesis 9:2;link;NTNW00;nif;607371;BJDKM ;Cmpl;;607372;NTNW00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
427291;4096;Genesis 9:3;link;NTTJ ;qal;607380;KJRQ <#B ;Adju;Cmpl;607381;NTTJ ;Pred;;607382;LKM ;Cmpl;;607383;>T&KL00;Objc;;;;;;;;;;;;;;;;;
427317;4248;Genesis 9:12;link;NTN ;qal;607457;>#R&;Rela;;607458;>NJ ;Subj;;607459;NTN ;PreC;;607460;BJNJ WBJNJKM WBJN KL&NP# XJH ;Cmpl;;;;;;;;;;;;;;;;;
427319;4264;Genesis 9:13;link;NTTJ ;qal;607464;>T&Q#TJ ;Objc;;607465;NTTJ ;Pred;;607466;B<NN ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427549;5616;Genesis 12:7;link;>TN ;qal;608182;LZR<K ;Cmpl;;608183;>TN ;Pred;;608184;>T&H>RY HZ>T ;Objc;;;;;;;;;;;;;;;;;;;;;
427650;6151;Genesis 13:15;link;>TNNH ;qal;608520;LK ;Cmpl;;608521;>TNNH ;PreO;;;;;;;;;;;;;;;;;;;;;;;;;
427658;6190;Genesis 13:17;link;>TNNH00;qal;608541;KJ ;Conj;;608542;LK ;Cmpl;;608543;>TNNH00;PreO;;;;;;;;;;;;;;;;;;;;;
427722;6591;Genesis 14:20;link;JTN&;qal;608726;W;Conj;;608727;JTN&;Pred;;608728;LW ;Cmpl;;608729;M<#R MKL00;Objc;;;;;;;;;;;;;;;;;
427724;6602;Genesis 14:21;link;TN&;qal;608734;TN&;Pred;;608735;LJ ;Cmpl;;608736;HNP# ;Objc;;;;;;;;;;;;;;;;;;;;;
427747;6698;Genesis 15:2;link;TTN&;qal;608794;MH&;Objc;;608795;TTN&;Pred;;608796;LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427752;6717;Genesis 15:3;link;NTTH ;qal;608808;HN ;Intj;;608809;LJ ;Cmpl;;608810;L> ;Nega;;608811;NTTH ;Pred;;608812;ZR< ;Objc;;;;;;;;;;;;;
427773;6788;Genesis 15:7;link;TT ;qal;608869;LTT ;Pred;;608870;LK ;Cmpl;;608871;>T&H>RY HZ>T ;Objc;;;;;;;;;;;;;;;;;;;;;
427783;6836;Genesis 15:10;link;JTN ;qal;608894;W;Conj;;608895;JTN ;Pred;;608896;>J#&;Adju;Objc;608897;BTRW ;Objc;;;;;;;;;;;;;;;;;
427812;6975;Genesis 15:18;link;NTTJ ;qal;608988;LZR<K ;Cmpl;;608989;NTTJ ;Pred;;608990;>T&H>RY HZ>T ;Objc;;608991;MNHR MYRJM ;Loca;Cmpl;608992;<D&HNHR HGDL NHR&PRT00;Loca;BoundErr;;;;;;;;;;;;
427827;7089;Genesis 16:3;link;TTN ;qal;609036;W;Conj;;609037;TTN ;Pred;;609038;>TH ;Objc;;609039;L>BRM >J#H ;Cmpl;;609040;LW ;Adju;;609041;L>#H00;Cmpl;;;;;;;;;
427835;7120;Genesis 16:5;link;NTTJ ;qal;609061;>NKJ ;Subj;;609062;NTTJ ;Pred;;609063;#PXTJ ;Objc;;609064;BXJQK ;Cmpl;;;;;;;;;;;;;;;;;
427887;7349;Genesis 17:2;link;>TNH ;qal;609218;W;Conj;;609219;>TNH ;Pred;;609220;BRJTJ ;Objc;;609221;BJNJ WBJNK ;Cmpl;;;;;;;;;;;;;;;;;
427897;7396;Genesis 17:5;link;NTTJK00;qal;609252;KJ ;Conj;;609253;>B&HMWN GWJM ;Objc;;609254;NTTJK00;PreO;;;;;;;;;;;;;;;;;;;;;
427899;7404;Genesis 17:6;link;NTTJK ;qal;609259;W;Conj;;609260;NTTJK ;PreO;;609261;LGWJM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427903;7437;Genesis 17:8;link;NTTJ ;qal;609274;W;Conj;;609275;NTTJ ;Pred;;609276;LK WLZR<K >XRJK ;Cmpl;;609277;>T >RY MGRJK >T KL&>RY KN<N ;Objc;;609278;L>XZT <WLM ;PrAd;Cmpl;;;;;;;;;;;;
