clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
427689;6397;Genesis 14:10;link;JNSW ;qal;608627;W;Conj;;608628;JNSW ;Pred;;608629;MLK&SDM W<MRH ;Subj;;;;;;;;;;;;;
427691;6409;Genesis 14:10;link;NSW00;qal;608633;W;Conj;;608634;HN#>RJM ;Subj;;608635;HRH ;Cmpl;;608636;NSW00;Pred;;;;;;;;;
428227;8876;Genesis 19:20;link;NWS ;qal;610221;LNWS ;Pred;;610222;#MH ;Cmpl;;;;;;;;;;;;;;;;;
431026;21688;Genesis 39:12;link;JNS ;qal;618589;W;Conj;;618590;JNS ;Pred;;;;;;;;;;;;;;;;;
431031;21703;Genesis 39:13;link;JNS ;qal;618601;W;Conj;;618602;JNS ;Pred;;618603;HXWYH00;Cmpl;;;;;;;;;;;;;
431046;21748;Genesis 39:15;link;JNS ;qal;618636;W;Conj;;618637;JNS ;Pred;;;;;;;;;;;;;;;;;
431059;21796;Genesis 39:18;link;JNS ;qal;618671;W;Conj;;618672;JNS ;Pred;;618673;HXWYH00;Cmpl;;;;;;;;;;;;;
432861;30207;Exodus 4:3;link;JNS ;qal;624018;W;Conj;;624019;JNS ;Pred;;624020;M#H ;Subj;;624021;MPNJW00;Cmpl;;;;;;;;;
433514;33444;Exodus 9:20;link;HNJS ;hif;625981;HNJS ;Pred;;625982;>T&<BDJW W>T&MQNHW ;Objc;;625983;>L&HBTJM00;Cmpl;;;;;;;;;;;;;
434111;36747;Exodus 14:25;link;>NWSH ;qal;627888;>NWSH ;Pred;;627889;MPNJ J#R>L ;Cmpl;;;;;;;;;;;;;;;;;
434119;36798;Exodus 14:27;link;NSJM ;qal;627917;W;Conj;;627918;MYRJM ;Subj;;627919;NSJM ;PreC;;;;;;;;;;;;;
434825;40204;Exodus 21:13;link;JNWS ;qal;630038;>#R ;Rela;;630039;JNWS ;Pred;;630040;#MH00;Cmpl;;;;;;;;;;;;;
439726;68426;Leviticus 26:17;link;NSTM ;qal;645204;W;Conj;;645205;NSTM ;Pred;;;;;;;;;;;;;;;;;
