clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
426579;59;Genesis 1:5;;JQR> ;;605167;W;Conj;;605168;JQR> ;Pred;;605169;>LHJM ;Subj;;605170;L>WR ;Cmpl;;605171;JWM ;Objc;;;;;;;;;;;;;
426580;69;Genesis 1:5;;QR> ;;605172;W;Conj;;605173;LX#K ;Cmpl;;605174;QR> ;Pred;;605175;LJLH ;Objc;;;;;;;;;;;;;;;;;
426592;126;Genesis 1:8;;JQR> ;;605207;W;Conj;;605208;JQR> ;Pred;;605209;>LHJM ;Subj;;605210;LRQJ< ;Cmpl;;605211;#MJM ;Objc;;;;;;;;;;;;;
426600;161;Genesis 1:10;;JQR> ;;605231;W;Conj;;605232;JQR> ;Pred;;605233;>LHJM ;Subj;;605234;LJB#H ;Cmpl;;605235;>RY ;Objc;;;;;;;;;;;;;
426601;172;Genesis 1:10;;QR> ;;605236;W;Conj;;605237;LMQWH HMJM ;Cmpl;;605238;QR> ;Pred;;605239;JMJM ;Objc;;;;;;;;;;;;;;;;;
426766;1037;Genesis 2:19;;JQR>&;;605711;MH&;Objc;;605712;JQR>&;Pred;;605713;LW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
426768;1042;Genesis 2:19;;JQR>&;;605716;>#R ;Rela;;605717;JQR>&;Pred;;605718;LW ;Cmpl;;605719;H>DM ;Subj;;605720;NP# XJH ;Objc;;;;;;;;;;;;;
426770;1051;Genesis 2:20;;JQR> ;;605723;W;Conj;;605724;JQR> ;Pred;;605725;H>DM ;Subj;;605726;#MWT ;Objc;;605727;LKL&HBHMH WL<WP H#MJM WLKL XJT H#DH ;Cmpl;;;;;;;;;;;;;
426781;1132;Genesis 2:23;;JQR> ;;605764;LZ>T ;Cmpl;;605765;JQR> ;Pred;;605766;>#H ;Objc;;;;;;;;;;;;;;;;;;;;;
426826;1345;Genesis 3:9;;JQR> ;;605901;W;Conj;;605902;JQR> ;Pred;;605903;JHWH >LHJM ;Subj;;605904;>L&H>DM ;Cmpl;;;;;;;;;;;;;;;;;
426878;1563;Genesis 3:20;;JQR> ;;606046;W;Conj;;606047;JQR> ;Pred;;606048;H>DM ;Subj;;606049;#M >#TW ;Objc;;606050;XWH ;Objc;;;;;;;;;;;;;
426964;1959;Genesis 4:17;;JQR> ;;606306;W;Conj;;606307;JQR> ;Pred;;606308;#M H<JR ;Objc;;606309;K#M BNW XNWK00;Cmpl;;;;;;;;;;;;;;;;;
426989;2086;Genesis 4:25;;TQR> ;;606388;W;Conj;;606389;TQR> ;Pred;;606390;>T&#MW ;Objc;;606391;#T ;Objc;;;;;;;;;;;;;;;;;
426993;2109;Genesis 4:26;;JQR> ;;606405;W;Conj;;606406;JQR> ;Pred;;606407;>T&#MW ;Objc;;606408;>NW# ;Objc;;;;;;;;;;;;;;;;;
426995;2116;Genesis 4:26;;QR> ;;606411;LQR> ;Pred;;606412;B#M JHWH00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
427001;2142;Genesis 5:2;;JQR> ;;606426;W;Conj;;606427;JQR> ;Pred;;606428;>T&#MM ;Objc;;606429;>DM ;Objc;;606430;BJWM ;Time;;;;;;;;;;;;;
427005;2163;Genesis 5:3;;JQR> ;;606440;W;Conj;;606441;JQR> ;Pred;;606442;>T&#MW ;Objc;;606443;#T00;Objc;;;;;;;;;;;;;;;;;
427065;2529;Genesis 5:29;;JQR> ;;606631;W;Conj;;606632;JQR> ;Pred;;606633;>T&#MW ;Objc;;606634;NX ;Objc;;;;;;;;;;;;;;;;;
427464;5116;Genesis 11:9;;QR> ;;607899;<L&KN ;Adju;;607900;QR> ;Pred;;607901;#MH ;Objc;;607902;BBL ;Objc;;;;;;;;;;;;;;;;;
427559;5661;Genesis 12:8;;JQR> ;;608212;W;Conj;;608213;JQR> ;Pred;;608214;B#M JHWH00;Cmpl;;;;;;;;;;;;;;;;;;;;;
427591;5816;Genesis 12:18;;JQR> ;;608316;W;Conj;;608317;JQR> ;Pred;;608318;PR<H ;Subj;;608319;L>BRM ;Cmpl;;;;;;;;;;;;;;;;;
427613;5933;Genesis 13:4;;JQR> ;;608389;W;Conj;;608390;JQR> ;Pred;;608391;#M ;Loca;;608392;>BRM ;Subj;;608393;B#M JHWH00;Cmpl;;;;;;;;;;;;;
427864;7235;Genesis 16:11;;QR>T ;;609142;W;Conj;;609143;QR>T ;Pred;;609144;#MW ;Objc;;609145;J#M<>L ;Objc;;;;;;;;;;;;;;;;;
427870;7263;Genesis 16:13;;TQR> ;;609162;W;Conj;;609163;TQR> ;Pred;;609164;#M&JHWH ;Objc;;;;;;;;;;;;;;;;;;;;;
427876;7282;Genesis 16:14;;QR> ;;609176;<L&KN ;Adju;;609177;QR> ;Pred;;609178;LB>R ;Cmpl;;609179;B>R LXJ R>J ;Objc;;;;;;;;;;;;;;;;;
427879;7301;Genesis 16:15;;JQR> ;;609187;W;Conj;;609188;JQR> ;Pred;;609189;>BRM ;Subj;;609190;#M&BNW ;Objc;;609194;J#M<>L00;Objc;;;;;;;;;;;;;
427897;7385;Genesis 17:5;;JQR> ;;609244;W;Conj;;609245;L>&;Nega;;609246;JQR> ;Pred;;609247;<WD ;Modi;;609248;>T&#MK ;Subj;;609249;>BRM ;Objc;;;;;;;;;
427925;7571;Genesis 17:15;;TQR> ;;609343;L>&;Nega;;609344;TQR> ;Pred;;609345;>T&#MH ;Objc;;609346;#RJ ;Objc;;;;;;;;;;;;;;;;;
427942;7643;Genesis 17:19;;QR>T ;;609401;W;Conj;;609402;QR>T ;Pred;;609403;>T&#MW ;Objc;;609404;JYXQ ;Objc;;;;;;;;;;;;;;;;;
428147;8522;Genesis 19:5;;JQR>W ;;609988;W;Conj;;609989;JQR>W ;Pred;;609990;>L&LWV ;Cmpl;;;;;;;;;;;;;;;;;;;;;
428241;8925;Genesis 19:22;;QR> ;;610257;<L&KN ;Adju;;610258;QR> ;Pred;;610259;#M&H<JR ;Objc;;610260;YW<R00;Objc;;;;;;;;;;;;;;;;;
428294;9219;Genesis 19:37;;TQR> ;;610429;W;Conj;;610430;TQR> ;Pred;;610431;#MW ;Objc;;610432;MW>B ;Objc;;;;;;;;;;;;;;;;;
428297;9236;Genesis 19:38;;TQR> ;;610440;W;Conj;;610441;TQR> ;Pred;;610442;#MW ;Objc;;610443;BN&<MJ ;Objc;;;;;;;;;;;;;;;;;
428337;9406;Genesis 20:8;;JQR> ;;610562;W;Conj;;610563;JQR> ;Pred;;610564;LKL&<BDJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
428340;9426;Genesis 20:9;;JQR> ;;610573;W;Conj;;610574;JQR> ;Pred;;610575;>BJMLK ;Subj;;610576;L>BRHM ;Cmpl;;;;;;;;;;;;;;;;;
428388;9656;Genesis 21:3;;JQR> ;;610730;W;Conj;;610731;JQR> ;Pred;;610732;>BRHM ;Subj;;610733;>T&#M&BNW ;Objc;;610741;JYXQ00;Objc;;;;;;;;;;;;;
428418;9810;Genesis 21:12;;JQR> ;;610830;KJ ;Conj;;610831;BJYXQ ;Adju;;610832;JQR> ;Pred;;610833;LK ;Cmpl;;610834;ZR<00;Subj;;;;;;;;;;;;;
428440;9911;Genesis 21:17;;JQR> ;;610895;W;Conj;;610896;JQR> ;Pred;;610897;ML>K >LHJM ;Subj;;610898;>L&HGR ;Cmpl;;610899;MN&H#MJM ;Loca;;;;;;;;;;;;;
428493;10169;Genesis 21:31;;QR> ;;611063;<L&KN ;Adju;;611064;QR> ;Pred;;611065;LMQWM HHW> ;Cmpl;;611066;B>R #B< ;Objc;;;;;;;;;;;;;;;;;
428499;10206;Genesis 21:33;;JQR>&;;611085;W;Conj;;611086;JQR>&;Pred;;611087;#M ;Loca;;611088;B#M JHWH >L <WLM00;Cmpl;;;;;;;;;;;;;;;;;
