clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
427251;3819;Genesis 8:13;link;JSR ;hif;607258;W;Conj;;607259;JSR ;Pred;;607260;NX ;Subj;;607261;>T&MKSH HTBH ;Objc;;;;;;;;;;;;;
428129;8453;Genesis 19:2;link;SWRW ;qal;609942;SWRW ;Pred;;609943;N> ;Intj;;609944;>L&BJT <BDKM ;Cmpl;;;;;;;;;;;;;;;;;
428138;8482;Genesis 19:3;link;JSRW ;qal;609965;W;Conj;;609966;JSRW ;Pred;;609967;>LJW ;Cmpl;;;;;;;;;;;;;;;;;
429825;16096;Genesis 30:32;link;HSR ;hif;615032;HSR ;Pred;;615033;M#M ;Cmpl;;615034;KL&#H NQD WVLW> WKL&#H&XWM BK#BJM WVLW> WNQD B<ZJM ;Objc;;;;;;;;;;;;;;;;;
429835;16160;Genesis 30:35;link;JSR ;hif;615061;W;Conj;;615062;JSR ;Pred;;615063;BJWM HHW> ;Time;;615064;>T&HTJ#JM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BK#BJM ;Objc;;;;;;;;;;;;;
430449;19079;Genesis 35:2;link;HSRW ;hif;616896;HSRW ;Pred;;616897;>T&>LHJ HNKR ;Objc;;;;;;;;;;;;;;;;;;;;;
430870;21060;Genesis 38:14;link;TSR ;hif;618141;W;Conj;;618142;TSR ;Pred;;618143;BGDJ >LMNWTH ;Objc;;618144;M<LJH ;Cmpl;;;;;;;;;;;;;
430906;21177;Genesis 38:19;link;TSR ;hif;618236;W;Conj;;618237;TSR ;Pred;;618238;Y<JPH ;Objc;;618239;M<LJH ;Cmpl;;;;;;;;;;;;;
431293;23096;Genesis 41:42;link;JSR ;hif;619416;W;Conj;;619417;JSR ;Pred;;619418;PR<H ;Subj;;619419;>T&VB<TW ;Objc;;619420;M<L JDW ;Cmpl;;;;;;;;;
432289;27654;Genesis 48:17;link;HSJR ;hif;622398;LHSJR ;Pred;;622399;>TH ;Objc;;622400;M<L R>#&>PRJM ;Cmpl;;622401;<L&R># MN#H00;Cmpl;;;;;;;;;;;;;
432357;27900;Genesis 49:10;link;JSWR ;qal;622567;L>&;Nega;;622568;JSWR ;Pred;;622569;#BV ;Subj;;622570;MJHWDH ;Cmpl;;;;;;;;;;;;;
432745;29672;Exodus 3:3;link;>SRH&;qal;623692;>SRH&;Pred;;623693;N> ;Intj;;;;;;;;;;;;;;;;;;;;;
432749;29692;Exodus 3:4;link;SR ;qal;623704;KJ ;Conj;;623705;SR ;Pred;;;;;;;;;;;;;;;;;;;;;
433329;32459;Exodus 8:4;link;JSR ;hif;625411;W;Conj;;625412;JSR ;Pred;;625413;HYPRD<JM ;Objc;;625414;MMNJ WM<MJ ;Cmpl;;;;;;;;;;;;;
433343;32521;Exodus 8:7;link;SRW ;qal;625446;W;Conj;;625447;SRW ;Pred;;625448;HYPRD<JM ;Subj;;625449;MMK WMBTJK WM<BDJK WM<MK ;Cmpl;;;;;;;;;;;;;
433423;32941;Exodus 8:25;link;SR ;qal;625698;W;Conj;;625699;SR ;Pred;;625700;H<RB ;Subj;;625701;MPR<H M<BDJW WM<MW ;Cmpl;;625702;MXR ;Time;;;;;;;;;
433431;32984;Exodus 8:27;link;JSR ;qal;625723;W;Conj;;625724;JSR ;Pred;;625725;H<RB ;Subj;;625726;MPR<H M<BDJW WM<MW ;Cmpl;;;;;;;;;;;;;
433657;34225;Exodus 10:17;link;JSR ;hif;626433;W;Conj;;626434;JSR ;Pred;;626435;M<LJ ;Cmpl;;626436;RQ >T&HMWT HZH00;Objc;;;;;;;;;;;;;
434106;36734;Exodus 14:25;link;JSR ;hif;627877;W;Conj;;627878;JSR ;Pred;;627879;>T >PN MRKBTJW ;Objc;;;;;;;;;;;;;;;;;
435102;41452;Exodus 23:25;link;HSRTJ ;hif;630900;W;Conj;;630901;HSRTJ ;Pred;;630902;MXLH ;Objc;;630903;MQRBK00;Loca;;;;;;;;;;;;;
435224;42175;Exodus 25:15;link;JSRW ;qal;631290;L> ;Nega;;631291;JSRW ;Pred;;631292;MMNW00;Cmpl;;;;;;;;;;;;;;;;;
435931;46653;Exodus 32:8;link;SRW ;qal;633491;SRW ;Pred;;633492;MHR ;Modi;;633493;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
436185;47746;Exodus 33:23;link;HSRTJ ;hif;634208;W;Conj;;634209;HSRTJ ;Pred;;634210;>T&KPJ ;Objc;;;;;;;;;;;;;;;;;
436311;48453;Exodus 34:34;link;JSJR ;hif;634619;W;Conj;;634625;JSJR ;Pred;;634626;>T&HMSWH ;Objc;;;;;;;;;;;;;;;;;
436928;52825;Leviticus 1:16;link;HSJR ;hif;636523;W;Conj;;636524;HSJR ;Pred;;636525;>T&MR>TW BNYTH ;Objc;;;;;;;;;;;;;;;;;
437003;53246;Leviticus 3:4;link;JSJRNH00;hif;636754;W;Conj;;636755;>T&HJTRT <L&HKBD ;Objc;BoundErr;636756;<L&HKLJWT ;Adju;BoundErr;636757;JSJRNH00;PreO;;;;;;;;;;;;;
437016;53339;Leviticus 3:9;link;JSJRNH ;hif;636806;L<MT H<YH ;Cmpl;;636807;JSJRNH ;PreO;;;;;;;;;;;;;;;;;;;;;
437022;53383;Leviticus 3:10;link;JSJRNH00;hif;636819;W;Conj;;636820;>T&HJTRT <L&HKBD ;Objc;BoundErr;636821;<L&HKLJT ;Adju;BoundErr;636822;JSJRNH00;PreO;;;;;;;;;;;;;
437037;53475;Leviticus 3:15;link;JSJRNH00;hif;636867;JSJRNH00;PreO;;;;;;;;;;;;;;;;;;;;;;;;;
437072;53715;Leviticus 4:9;link;JSJRNH00;hif;636974;W;Conj;;636975;>T&HJTRT <L&HKBD ;Objc;BoundErr;636976;<L&HKLJWT ;Adju;BoundErr;636977;JSJRNH00;PreO;;;;;;;;;;;;;
437139;54162;Leviticus 4:31;link;JSJR ;hif;637211;W;Conj;;637212;>T&KL&XLBH ;Objc;;637213;JSJR ;Pred;;;;;;;;;;;;;;;;;
437140;54165;Leviticus 4:31;link;HWSR ;hof;637214;K>#R ;Conj;;637215;HWSR ;Pred;;637216;XLB ;Subj;;637217;M<L ZBX H#LMJM ;Cmpl;;;;;;;;;;;;;
437152;54251;Leviticus 4:35;link;JSJR ;hif;637261;W;Conj;;637262;>T&KL&XLBH ;Objc;;637263;JSJR ;Pred;;;;;;;;;;;;;;;;;
437153;54254;Leviticus 4:35;link;JWSR ;hof;637264;K>#R ;Conj;;637265;JWSR ;Pred;;637266;XLB&HK#B ;Subj;;637267;MZBX H#LMJM ;Cmpl;;;;;;;;;;;;;
437381;55387;Leviticus 7:4;link;JSJRNH00;hif;637943;W;Conj;;637944;>T&HJTRT <L&HKBD ;Objc;BoundErr;637945;<L&HKLJT ;Adju;BoundErr;637946;JSJRNH00;PreO;;;;;;;;;;;;;
438214;60168;Leviticus 13:58;link;SR ;qal;640484;W;Conj;;640485;SR ;Pred;;640486;MHM ;Cmpl;;640487;HNG< ;Subj;;;;;;;;;;;;;
441221;77734;Numbers 12:10;link;SR ;qal;649666;W;Conj;;649667;H<NN ;Subj;;649668;SR ;Pred;;649669;M<L H>HL ;Cmpl;;;;;;;;;;;;;
441392;78581;Numbers 14:9;link;SR ;qal;650174;SR ;Pred;;650175;YLM ;Subj;;650176;M<LJHM ;Cmpl;;;;;;;;;;;;;;;;;
441751;80523;Numbers 16:26;link;SWRW ;qal;651269;SWRW ;Pred;;651270;N> ;Intj;;651271;M<L >HLJ H>N#JM HR#<JM H>LH ;Cmpl;;;;;;;;;;;;;;;;;
442225;83281;Numbers 21:7;link;JSR ;hif;652809;W;Conj;;652810;JSR ;Pred;;652811;M<LJNW ;Cmpl;;652812;>T&HNX# ;Objc;;;;;;;;;;;;;
