clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
427214;3563;Genesis 8:1;link;J<BR ;hif;607123;W;Conj;;607124;J<BR ;Pred;;607125;>LHJM ;Subj;;607126;RWX ;Objc;;607127;<L&H>RY ;Cmpl;;;;;;;;;;;;;
430190;17911;Genesis 32:24;link;J<BRM ;hif;616136;W;Conj;;616137;J<BRM ;PreO;;616138;>T&HNXL ;Objc;Cmpl;;;;;;;;;;;;;;;;;;;;
430191;17916;Genesis 32:24;link;J<BR ;hif;616139;W;Conj;;616140;J<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
432166;27047;Genesis 47:21;link;H<BJR ;hif;622008;H<BJR ;Pred;;622009;>TW ;Objc;;622010;L<RJM MQYH GBWL&MYRJM W<D&QYHW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
433961;35977;Exodus 13:12;link;H<BRT ;hif;627418;W;Conj;;627419;H<BRT ;Pred;;627420;KL&PVR&RXM ;Objc;;627421;LJHWH ;Cmpl;Adju;;;;;;;;;;;;;;;;
436166;47680;Exodus 33:19;link;><BJR ;hif;634159;>NJ ;Subj;;634160;><BJR ;Pred;;634161;KL&VWBJ ;Objc;;634162;<L&PNJK ;Cmpl;;;;;;;;;;;;;;;;;
436430;49300;Exodus 36:6;link;J<BJRW ;hif;634936;W;Conj;;634937;J<BJRW ;Pred;;634938;QWL ;Objc;;634939;BMXNH ;Cmpl;;;;;;;;;;;;;;;;;
438788;63640;Leviticus 18:21;link;H<BJR ;hif;642317;LH<BJR ;Pred;;642318;LMLK ;Cmpl;Adju;;;;;;;;;;;;;;;;;;;;;;;;
439499;67302;Leviticus 25:9;link;H<BRT ;hif;644453;W;Conj;;644454;H<BRT ;Pred;;644455;#WPR TRW<H ;Objc;;644456;BXD# H#B<J B<#WR LXD# ;Time;;;;;;;;;;;;;;;;;
439500;67320;Leviticus 25:9;link;T<BJRW ;hif;644457;BJWM HKPRJM ;Time;;644458;T<BJRW ;Pred;;644459;#WPR ;Objc;;644460;BKL&>RYKM00;Cmpl;;;;;;;;;;;;;;;;;
440780;75337;Numbers 8:7;link;H<BJRW ;hif;648282;W;Conj;;648283;H<BJRW ;Pred;;648284;T<R ;Objc;;648285;<L&KL&B#RM ;Cmpl;;;;;;;;;;;;;;;;;
443002;87025;Numbers 27:7;link;H<BRT ;hif;654982;W;Conj;;654983;H<BRT ;Pred;;654984;>T&NXLT >BJHN ;Objc;;654985;LHN00;Cmpl;Adju;;;;;;;;;;;;;;;;
443008;87045;Numbers 27:8;link;H<BRTM ;hif;654997;W;Conj;;654998;H<BRTM ;Pred;;654999;>T&NXLTW ;Objc;;655000;LBTW00;Cmpl;Adju;;;;;;;;;;;;;;;;
443315;89314;Numbers 31:23;link;T<BJRW ;hif;655981;>K >T&HZHB W>T&HKSP >T&HNX#T >T&HBRZL >T&HBDJL W>T&H<PRT00;Objc;;655986;T<BJRW ;Pred;;655987;B># ;Cmpl;;;;;;;;;;;;;;;;;;;;;
443320;89333;Numbers 31:23;link;T<BJRW ;hif;655992;W;Conj;;655993;KL ;Objc;;655998;T<BJRW ;Pred;;655999;BMJM00;Cmpl;;;;;;;;;;;;;;;;;
443399;89981;Numbers 32:5;link;T<BRNW ;hif;656244;>L&;Nega;;656245;T<BRNW ;PreO;;656246;>T&HJRDN00;Objc;;;;;;;;;;;;;;;;;;;;;
444186;94317;Deuteronomy 2:30;link;H<BRNW ;hif;658696;H<BRNW ;PreO;;658697;BW ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
445865;103620;Deuteronomy 18:10;link;M<BJR ;hif;663775;M<BJR ;PreC;;663776;BNW&WBTW ;Objc;;663777;B># ;Cmpl;;;;;;;;;;;;;;;;;;;;;
448037;114434;Joshua 4:3;link;H<BRTM ;hif;670206;W;Conj;;670207;H<BRTM ;Pred;;670208;>WTM ;Objc;;670209;<MKM ;Cmpl;Adju;;;;;;;;;;;;;;;;
448059;114577;Joshua 4:8;link;J<BRWM ;hif;670284;W;Conj;;670285;J<BRWM ;PreO;;670286;<MM ;Adju;;670287;>L&HMLWN ;Cmpl;;;;;;;;;;;;;;;;;
448346;116252;Joshua 7:7;link;H<BRT ;hif;671180;LMH ;Ques;;671181;H<BRT ;Pred;;671182;H<BJR ;Modi;;671183;>T&H<M HZH ;Objc;;671184;>T&HJRDN ;Objc;;;;;;;;;;;;;
453128;142566;1_Samuel 2:24;link;M<BRJM ;hif;685868;M<BRJM ;PreC;;685869;<M&JHWH00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
454788;150438;1_Samuel 16:8;link;J<BRHW ;hif;690883;W;Conj;;690884;J<BRHW ;PreO;;690885;LPNJ #MW>L ;Cmpl;;;;;;;;;;;;;;;;;;;;;
454791;150451;1_Samuel 16:9;link;J<BR ;hif;690892;W;Conj;;690893;J<BR ;Pred;;690894;J#J ;Subj;;690895;#MH ;Objc;;;;;;;;;;;;;;;;;
454794;150463;1_Samuel 16:10;link;J<BR ;hif;690902;W;Conj;;690903;J<BR ;Pred;;690904;J#J ;Subj;;690905;#B<T BNJW ;Objc;;690906;LPNJ #MW>L ;Cmpl;;;;;;;;;;;;;
455595;154202;1_Samuel 20:36;link;H<BRW00;hif;693335;LH<BRW00;PreO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
457064;161125;2_Samuel 2:8;link;J<BRHW ;hif;697811;W;Conj;;697812;J<BRHW ;PreO;;697813;MXNJM00;Cmpl;;;;;;;;;;;;;;;;;;;;;
457197;161860;2_Samuel 3:10;link;H<BJR ;hif;698236;LH<BJR ;Pred;;698237;HMMLKH ;Objc;;698238;MBJT #>WL ;Cmpl;;;;;;;;;;;;;;;;;;;;;
458106;166675;2_Samuel 12:13;link;H<BJR ;hif;701105;GM&JHWH ;Subj;;701106;H<BJR ;Pred;;701107;XV>TK ;Objc;;;;;;;;;;;;;;;;;;;;;
458210;167086;2_Samuel 12:31;link;H<BJR ;hif;701408;W;Conj;;701409;H<BJR ;Pred;;701410;>WTM ;Objc;;701411;BMLBN ;Cmpl;;;;;;;;;;;;;;;;;
459326;172349;2_Samuel 19:16;link;H<BJR ;hif;704727;LH<BJR ;Pred;;704728;>T&HMLK ;Objc;;704729;>T&HJRDN00;Objc;;;;;;;;;;;;;;;;;;;;;
459336;172409;2_Samuel 19:19;link;<BJR ;hif;704755;L<BJR ;Pred;;704756;>T&BJT HMLK ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
459444;172952;2_Samuel 19:41;link;H<BJRW ;hif;705108;W;Conj;;705109;KL&<M JHWDH WGM XYJ <M J#R>L00;Subj;;705110;H<BJRW ;Pred;;705111;>T&HMLK ;Objc;;;;;;;;;;;;;;;;;
459448;172981;2_Samuel 19:42;link;J<BRW ;hif;705123;W;Conj;;705124;J<BRW ;Pred;;705125;>T&HMLK W>T&BJTW ;Objc;;705126;>T&HJRDN ;Objc;;;;;;;;;;;;;;;;;
460008;175653;2_Samuel 24:10;link;H<BR&;hif;706685;H<BR&;Pred;;706686;N> ;Intj;;706687;>T&<WN <BDK ;Objc;;;;;;;;;;;;;;;;;;;;;
462326;188535;1_Kings 15:12;link;J<BR ;hif;713745;W;Conj;;713746;J<BR ;Pred;;713747;HQD#JM ;Objc;;713748;MN&H>RY ;Cmpl;;;;;;;;;;;;;;;;;
465896;205079;2_Kings 16:3;link;H<BJR ;hif;723981;W;Conj;;723982;GM >T&BNW ;Objc;;723983;H<BJR ;Pred;;723984;B># ;Cmpl;;723985;KT<BWT HGWJM ;Adju;;;;;;;;;;;;;
466024;205928;2_Kings 17:17;link;J<BJRW ;hif;724412;W;Conj;;724413;J<BJRW ;Pred;;724414;>T&BNJHM W>T&BNWTJHM ;Objc;;724415;B># ;Cmpl;;;;;;;;;;;;;;;;;
