clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
426585;94;Genesis 1:7;link;J<# ;qal;605191;W;Conj;;605192;J<# ;Pred;;605193;>LHJM ;Subj;;605194;>T&HRQJ< ;Objc;;;;;;;;;;;;;
426605;189;Genesis 1:11;link;<#H ;qal;605251;<#H ;PreC;;605252;PRJ ;Objc;;605253;LMJNW ;Adju;;605257;<L&H>RY ;Loca;;;;;;;;;;;;;
426610;214;Genesis 1:12;link;<#H ;qal;605268;<#H ;PreC;;605269;PRJ ;Objc;;605273;LMJNHW ;Adju;;;;;;;;;;;;;;;;;
426624;281;Genesis 1:16;link;J<# ;qal;605306;W;Conj;;605307;J<# ;Pred;;605308;>LHJM ;Subj;;605309;>T&#NJ HM>RT HGDLJM ;Objc;;;;;;;;;;;;;
426660;466;Genesis 1:25;link;J<# ;qal;605404;W;Conj;;605405;J<# ;Pred;;605406;>LHJM ;Subj;;605407;>T&XJT H>RY ;Objc;;605408;LMJNH ;Adju;;;;;;;;;
426666;496;Genesis 1:26;link;N<#H ;qal;605423;N<#H ;Pred;;605424;>DM ;Objc;;605425;BYLMNW ;Adju;;605426;KDMWTNW ;Adju;;;;;;;;;;;;;
426691;658;Genesis 1:31;link;<#H ;qal;605499;>#R ;Rela;;605500;<#H ;Pred;;;;;;;;;;;;;;;;;;;;;
426698;692;Genesis 2:2;link;<#H ;qal;605520;>#R ;Rela;;605521;<#H ;Pred;;;;;;;;;;;;;;;;;;;;;
426700;704;Genesis 2:2;link;<#H00;qal;605526;>#R ;Rela;;605527;<#H00;Pred;;;;;;;;;;;;;;;;;;;;;
426705;725;Genesis 2:3;link;<#WT00;qal;605542;L<#WT00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
426709;737;Genesis 2:4;link;<#WT ;qal;605547;<#WT ;Pred;;605548;JHWH >LHJM ;Subj;;605549;>RY W#MJM00;Objc;;;;;;;;;;;;;;;;;
426760;1005;Genesis 2:18;link;><#H&;qal;605697;><#H&;Pred;;605698;LW ;Cmpl;Adju;605699;<ZR KNGDW00;Objc;;;;;;;;;;;;;;;;;
426787;1177;Genesis 3:1;link;<#H ;qal;605791;>#R ;Rela;;605792;<#H ;Pred;;605793;JHWH >LHJM ;Subj;;;;;;;;;;;;;;;;;
