cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426569;3;-1;Genesis;1;1;BR>;qal;BR> ;B R>CJT BR> >LHJM >T H CMJM W >T H >RY ;;;;;;;;;;;
426569;3;605134;Genesis;1;1;BR>;qal;;B R>CJT ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
426569;3;605135;Genesis;1;1;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
426569;3;605136;Genesis;1;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426569;3;605137;Genesis;1;1;BR>;qal;;>T H CMJM W >T H >RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426642;381;-1;Genesis;1;21;BR>;qal;JBR> ;W JBR> >LHJM >T H TNJNM H GDLJM W >T KL NPC L MJNHM ;;;;;;;;;;;
426642;381;605352;Genesis;1;21;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426642;381;605353;Genesis;1;21;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
426642;381;605354;Genesis;1;21;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426642;381;605355;Genesis;1;21;BR>;qal;;>T H TNJNM H GDLJM W >T KL NPC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426642;381;605363;Genesis;1;21;BR>;qal;;L MJNHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426671;535;-1;Genesis;1;27;BR>;qal;JBR> ;W JBR> >LHJM >T H >DM B YLMW ;;;;;;;;;;;
426671;535;605435;Genesis;1;27;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426671;535;605436;Genesis;1;27;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
426671;535;605437;Genesis;1;27;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426671;535;605438;Genesis;1;27;BR>;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426671;535;605439;Genesis;1;27;BR>;qal;;B YLMW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426672;545;-1;Genesis;1;27;BR>;qal;BR> ;B YLM >LHJM BR> >TW ;;;;;;;;;;;
426672;545;605440;Genesis;1;27;BR>;qal;;B YLM >LHJM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426672;545;605441;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Objc;complement;NA;NP_direct_object;;;
426672;545;605442;Genesis;1;27;BR>;qal;;>TW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
426673;550;-1;Genesis;1;27;BR>;qal;BR> ;ZKR W NQBH BR> >TM ;;;;;;;;;;;
426673;550;605443;Genesis;1;27;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
426673;550;605444;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
426673;550;605445;Genesis;1;27;BR>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426706;724;-1;Genesis;2;3;BR>;qal;BR> ;>CR BR> >LHJM ;;;;;;;;;;;
426706;724;605541;Genesis;2;3;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
426706;724;605542;Genesis;2;3;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
426706;724;605543;Genesis;2;3;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426706;724;426707;Genesis;2;3;BR>;qal;;L <FWT ;clause;InfC;Adju;;;NA;NA;;;;
426709;736;-1;Genesis;2;4;BR>;nif;HBR>M ;B HBR>M ;;;;;;;;;;;
426709;736;605547;Genesis;2;4;BR>;nif;;B HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
426997;2126;-1;Genesis;5;1;BR>;qal;BR> ;B JWM BR> >LHJM >DM ;;;;;;;;;;;
426997;2126;606415;Genesis;5;1;BR>;qal;;B JWM BR> ;phrase;;;VP;Pred;core;regular;NA;;;
426997;2126;606416;Genesis;5;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426997;2126;606417;Genesis;5;1;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426999;2137;-1;Genesis;5;2;BR>;qal;BR>M ;ZKR W NQBH BR>M ;;;;;;;;;;;
426999;2137;606421;Genesis;5;2;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
426999;2137;606422;Genesis;5;2;BR>;qal;;BR>M ;phrase;;;VP;PreO;core;regular;direct_object;;;
427002;2148;-1;Genesis;5;2;BR>;nif;HBR>M ;HBR>M ;;;;;;;;;;;
427002;2148;606431;Genesis;5;2;BR>;nif;;HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
427103;2740;-1;Genesis;6;7;BR>;qal;BR>TJ ;>CR BR>TJ ;;;;;;;;;;;
427103;2740;606752;Genesis;6;7;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427103;2740;606753;Genesis;6;7;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
436231;47983;-1;Exodus;34;10;BR>;nif;NBR>W ;>CR L> NBR>W B KL H >RY W B KL H GWJM ;;;;;;;;;;;
436231;47983;634352;Exodus;34;10;BR>;nif;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
436231;47983;634353;Exodus;34;10;BR>;nif;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
436231;47983;634354;Exodus;34;10;BR>;nif;;NBR>W ;phrase;;;VP;Pred;core;regular;NA;;;
436231;47983;634355;Exodus;34;10;BR>;nif;;B KL H >RY W B KL H GWJM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
441769;80615;-1;Numbers;16;30;BR>;qal;JBR> ;W >M BRJ>H JBR> JHWH ;;;;;;;;;;;
441769;80615;651318;Numbers;16;30;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
441769;80615;651319;Numbers;16;30;BR>;qal;;>M ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
441769;80615;651320;Numbers;16;30;BR>;qal;;BRJ>H ;phrase;;;NP;Objc;complement;NA;direct_object;;;
441769;80615;651321;Numbers;16;30;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
441769;80615;651322;Numbers;16;30;BR>;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
444459;95890;-1;Deuteronomy;4;32;BR>;qal;BR> ;>CR BR> >LHJM >DM <L H >RY ;;;;;;;;;;;
444459;95890;659508;Deuteronomy;4;32;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
444459;95890;659509;Deuteronomy;4;32;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
444459;95890;659510;Deuteronomy;4;32;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
444459;95890;659511;Deuteronomy;4;32;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
444459;95890;659512;Deuteronomy;4;32;BR>;qal;;<L H >RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
467368;213368;-1;Isaiah;4;5;BR>;qal;BR> ;W BR> JHWH <L KL MKWN HR YJWN W <L MQR>H <NN JWMM ;;;;;;;;;;;
467368;213368;728417;Isaiah;4;5;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
467368;213368;728418;Isaiah;4;5;BR>;qal;;BR> ;phrase;;;VP;Loca;adjunct;NA;NA;;location;location
467368;213368;728419;Isaiah;4;5;BR>;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
467368;213368;728420;Isaiah;4;5;BR>;qal;;<L KL MKWN HR YJWN W <L MQR>H ;phrase;;;PP;Adju;adjunct;NA;NA;;;
467368;213368;728421;Isaiah;4;5;BR>;qal;;<NN ;phrase;;;NP;Objc;complement;NA;direct_object;;;
467368;213368;728422;Isaiah;4;5;BR>;qal;;JWMM ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
470245;225958;-1;Isaiah;40;26;BR>;qal;BR> ;MJ BR> >LH ;;;;;;;;;;;
470245;225958;736322;Isaiah;40;26;BR>;qal;;MJ ;phrase;;;IPrP;Subj;core;NA;subject;;;
470245;225958;736323;Isaiah;40;26;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
470245;225958;736324;Isaiah;40;26;BR>;qal;;>LH ;phrase;;;DPrP;Objc;complement;NA;direct_object;;;
470258;226003;-1;Isaiah;40;28;BR>;qal;BWR> ;BWR> QYWT H >RY ;;;;;;;;;;;
470258;226003;736357;Isaiah;40;28;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
470258;226003;736358;Isaiah;40;28;BR>;qal;;QYWT H >RY ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470372;226376;-1;Isaiah;41;20;BR>;qal;BR>H ;W QDWC JFR>L BR>H ;;;;;;;;;;;
470372;226376;736630;Isaiah;41;20;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470372;226376;736631;Isaiah;41;20;BR>;qal;;QDWC JFR>L ;phrase;;;NP;Subj;core;NA;subject;;;
470372;226376;736632;Isaiah;41;20;BR>;qal;;BR>H ;phrase;;;VP;PreO;core;regular;direct_object;;;
470443;226578;-1;Isaiah;42;5;BR>;qal;BWR> ;BWR> H CMJM ;;;;;;;;;;;
470443;226578;736801;Isaiah;42;5;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
470443;226578;736802;Isaiah;42;5;BR>;qal;;H CMJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470545;226930;-1;Isaiah;43;1;BR>;qal;BR>K ;W <TH KH >MR JHWH BR>K W JYRK ;;;;;;;;;;;
470545;226930;737048;Isaiah;43;1;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470545;226930;737049;Isaiah;43;1;BR>;qal;;<TH ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
470545;226930;737050;Isaiah;43;1;BR>;qal;;KH ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
470545;226930;737051;Isaiah;43;1;BR>;qal;;>MR ;phrase;;;VP;Pred;core;regular;NA;;;
470545;226930;737052;Isaiah;43;1;BR>;qal;;JHWH BR>K W JYRK ;phrase;;;PrNP;Subj;core;NA;subject;;;
470579;227040;-1;Isaiah;43;7;BR>;qal;BR>TJW ;W L KBWDJ BR>TJW ;;;;;;;;;;;
470579;227040;737132;Isaiah;43;7;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470579;227040;737133;Isaiah;43;7;BR>;qal;;L KBWDJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
470579;227040;737134;Isaiah;43;7;BR>;qal;;BR>TJW ;phrase;;;VP;PreO;core;regular;direct_object;;;
470622;227167;-1;Isaiah;43;15;BR>;qal;BWR> ;>NJ JHWH QDWCKM BWR> JFR>L MLKKM ;;;;;;;;;;;
470622;227167;737240;Isaiah;43;15;BR>;qal;;>NJ JHWH ;phrase;;;PPrP;Subj;core;NA;subject;;;
470622;227167;737241;Isaiah;43;15;BR>;qal;;QDWCKM BWR> JFR>L MLKKM ;phrase;;;NP;PreC;core;regular;NA;;location;location
470865;227968;-1;Isaiah;45;7;BR>;qal;BWR> ;W BWR> XCK ;;;;;;;;;;;
470865;227968;737857;Isaiah;45;7;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470865;227968;737858;Isaiah;45;7;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
470865;227968;737859;Isaiah;45;7;BR>;qal;;XCK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470867;227973;-1;Isaiah;45;7;BR>;qal;BWR> ;W BWR> R< ;;;;;;;;;;;
470867;227973;737862;Isaiah;45;7;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470867;227973;737863;Isaiah;45;7;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
470867;227973;737864;Isaiah;45;7;BR>;qal;;R< ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470876;227999;-1;Isaiah;45;8;BR>;qal;BR>TJW ;>NJ JHWH BR>TJW ;;;;;;;;;;;
470876;227999;737884;Isaiah;45;8;BR>;qal;;>NJ JHWH ;phrase;;;PPrP;Subj;core;NA;subject;;;
470876;227999;737885;Isaiah;45;8;BR>;qal;;BR>TJW ;phrase;;;VP;PreO;core;regular;direct_object;;;
470893;228054;-1;Isaiah;45;12;BR>;qal;BR>TJ ;W >DM <LJH BR>TJ ;;;;;;;;;;;
470893;228054;737920;Isaiah;45;12;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
470893;228054;737921;Isaiah;45;12;BR>;qal;;>DM <LJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470893;228054;737922;Isaiah;45;12;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
470925;228160;-1;Isaiah;45;18;BR>;qal;BWR> ;BWR> H CMJM ;;;;;;;;;;;
470925;228160;738004;Isaiah;45;18;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
470925;228160;738005;Isaiah;45;18;BR>;qal;;H CMJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
470930;228175;-1;Isaiah;45;18;BR>;qal;BR>H ;L> THW BR>H ;;;;;;;;;;;
470930;228175;738014;Isaiah;45;18;BR>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
470930;228175;738015;Isaiah;45;18;BR>;qal;;THW ;phrase;;;NP;Objc;complement;NA;NP_direct_object;;;
470930;228175;738016;Isaiah;45;18;BR>;qal;;BR>H ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
471160;228885;-1;Isaiah;48;7;BR>;nif;NBR>W ;<TH NBR>W ;;;;;;;;;;;
471160;228885;738566;Isaiah;48;7;BR>;nif;;<TH ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
471160;228885;738567;Isaiah;48;7;BR>;nif;;NBR>W ;phrase;;;VP;Pred;core;regular;NA;;;
471757;231004;-1;Isaiah;54;16;BR>;qal;BR>TJ ;HN >NKJ BR>TJ XRC ;;;;;;;;;;;
471757;231004;740126;Isaiah;54;16;BR>;qal;;HN ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
471757;231004;740127;Isaiah;54;16;BR>;qal;;>NKJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
471757;231004;740128;Isaiah;54;16;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
471757;231004;740129;Isaiah;54;16;BR>;qal;;XRC ;phrase;;;NP;Objc;complement;NA;direct_object;;;
471760;231017;-1;Isaiah;54;16;BR>;qal;BR>TJ ;W >NKJ BR>TJ MCXJT ;;;;;;;;;;;
471760;231017;740136;Isaiah;54;16;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
471760;231017;740137;Isaiah;54;16;BR>;qal;;>NKJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
471760;231017;740138;Isaiah;54;16;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
471760;231017;740139;Isaiah;54;16;BR>;qal;;MCXJT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
471760;231017;471761;Isaiah;54;16;BR>;qal;;L XBL ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
471992;231854;-1;Isaiah;57;19;BR>;qal;BWR> ;BWR> NWB FPTJM ;;;;;;;;;;;
471992;231854;740716;Isaiah;57;19;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
471992;231854;740717;Isaiah;57;19;BR>;qal;;NWB FPTJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
472596;234274;-1;Isaiah;65;17;BR>;qal;BWR> ;KJ HNNJ BWR> CMJM XDCJM W >RY XDCH ;;;;;;;;;;;
472596;234274;742423;Isaiah;65;17;BR>;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
472596;234274;742424;Isaiah;65;17;BR>;qal;;HNNJ ;phrase;;;InjP;IntS;core;NA;subject;;;
472596;234274;742425;Isaiah;65;17;BR>;qal;;BWR> ;phrase;;;VP;PreC;core;regular;NA;;;
