cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426764;1030;-1;Genesis;2;19;BW>;hif;JB> ;W JB> >L H >DM ;;;;;;;;;;;
426764;1030;605707;Genesis;2;19;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426764;1030;605708;Genesis;2;19;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
426764;1030;605709;Genesis;2;19;BW>;hif;;>L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
426764;1030;426765;Genesis;2;19;BW>;hif;;L R>WT ;clause;InfC;Adju;;;NA;NA;;;;
426778;1112;-1;Genesis;2;22;BW>;hif;JB>H ;W JB>H >L H >DM ;;;;;;;;;;;
426778;1112;605755;Genesis;2;22;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426778;1112;605756;Genesis;2;22;BW>;hif;;JB>H ;phrase;;;VP;PreO;core;regular;direct_object;;;
426778;1112;605757;Genesis;2;22;BW>;hif;;>L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
426907;1710;-1;Genesis;4;3;BW>;hif;JB> ;W JB> QJN M PRJ H >DMH MNXH L JHWH ;;;;;;;;;;;
426907;1710;606133;Genesis;4;3;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426907;1710;606134;Genesis;4;3;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
426907;1710;606135;Genesis;4;3;BW>;hif;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
426907;1710;606136;Genesis;4;3;BW>;hif;;M PRJ H >DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
426907;1710;606137;Genesis;4;3;BW>;hif;;MNXH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426907;1710;606138;Genesis;4;3;BW>;hif;;L JHWH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426908;1721;-1;Genesis;4;4;BW>;hif;HBJ> ;W HBL HBJ> GM HW> M BKRWT Y>NW W M XLBHN ;;;;;;;;;;;
426908;1721;606139;Genesis;4;4;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426908;1721;606140;Genesis;4;4;BW>;hif;;HBL GM HW> ;phrase;;;PrNP;Subj;core;NA;subject;;;
426908;1721;606141;Genesis;4;4;BW>;hif;;HBJ> ;phrase;;;VP;Pred;core;regular;NA;;;
426908;1721;606142;Genesis;4;4;BW>;hif;;M BKRWT Y>NW W M XLBHN ;phrase;;;PP;Cmpl;complement;NA;*;;;
427090;2676;-1;Genesis;6;4;BW>;qal;JB>W ;>CR JB>W BNJ H >LHJM >L BNWT H >DM ;;;;;;;;;;;
427090;2676;606713;Genesis;6;4;BW>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427090;2676;606714;Genesis;6;4;BW>;qal;;JB>W ;phrase;;;VP;Pred;core;regular;NA;;;
427090;2676;606715;Genesis;6;4;BW>;qal;;BNJ H >LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427090;2676;606716;Genesis;6;4;BW>;qal;;>L BNWT H >DM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427117;2834;-1;Genesis;6;13;BW>;qal;B> ;QY KL BFR B> L PNJ ;;;;;;;;;;;
427117;2834;606802;Genesis;6;13;BW>;qal;;QY KL BFR ;phrase;;;NP;Subj;core;NA;subject;;;
427117;2834;606803;Genesis;6;13;BW>;qal;;B> ;phrase;;;VP;Pred;core;regular;NA;;;
427117;2834;606804;Genesis;6;13;BW>;qal;;L PNJ ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427133;2916;-1;Genesis;6;17;BW>;hif;MBJ> ;HNNJ MBJ> >T H MBWL MJM <L H >RY ;;;;;;;;;;;
427133;2916;606852;Genesis;6;17;BW>;hif;;HNNJ ;phrase;;;InjP;IntS;core;NA;subject;;;
427133;2916;606853;Genesis;6;17;BW>;hif;;MBJ> ;phrase;;;VP;PreC;core;regular;NA;;;
