cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426855;1458;-1;Genesis;3;15;CJT;qal;>CJT ;W >JBH >CJT BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;;;;;;;;;;;
426855;1458;605978;Genesis;3;15;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426855;1458;605979;Genesis;3;15;CJT;qal;;>JBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426855;1458;605980;Genesis;3;15;CJT;qal;;>CJT ;phrase;;;VP;Pred;core;regular;NA;;;
426855;1458;605981;Genesis;3;15;CJT;qal;;BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
426990;2091;-1;Genesis;4;25;CJT;qal;CT ;KJ CT LJ >LHJM ZR< >XR TXT HBL ;;;;;;;;;;;
426990;2091;606392;Genesis;4;25;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426990;2091;606393;Genesis;4;25;CJT;qal;;CT ;phrase;;;VP;Pred;core;regular;NA;;;
426990;2091;606394;Genesis;4;25;CJT;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426990;2091;606395;Genesis;4;25;CJT;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426990;2091;606396;Genesis;4;25;CJT;qal;;ZR< >XR ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426990;2091;606397;Genesis;4;25;CJT;qal;;TXT HBL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429858;16305;-1;Genesis;30;40;CJT;qal;JCT ;W JCT LW <DRJM L BDW ;;;;;;;;;;;
429858;16305;615127;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Adju;adjunct;NA;NA;;;
429858;16305;615128;Genesis;30;40;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
429858;16305;615129;Genesis;30;40;CJT;qal;;LW ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
429858;16305;615130;Genesis;30;40;CJT;qal;;<DRJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429858;16305;615131;Genesis;30;40;CJT;qal;;L BDW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429859;16312;-1;Genesis;30;40;CJT;qal;CTM ;W L> CTM <L Y>N LBN ;;;;;;;;;;;
429859;16312;615132;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429859;16312;615133;Genesis;30;40;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
429859;16312;615134;Genesis;30;40;CJT;qal;;CTM ;phrase;;;VP;PreO;core;regular;direct_object;;;
429859;16312;615135;Genesis;30;40;CJT;qal;;<L Y>N LBN ;phrase;;;PP;Cmpl;complement;NA;*;;;
431271;22953;-1;Genesis;41;33;CJT;qal;JCJTHW ;W JCJTHW <L >RY MYRJM ;;;;;;;;;;;
431271;22953;619337;Genesis;41;33;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431271;22953;619338;Genesis;41;33;CJT;qal;;JCJTHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
431271;22953;619339;Genesis;41;33;CJT;qal;;<L >RY MYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
431997;26055;-1;Genesis;46;4;CJT;qal;JCJT ;W JWSP JCJT JDW <L <JNJK ;;;;;;;;;;;
431997;26055;621481;Genesis;46;4;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431997;26055;621482;Genesis;46;4;CJT;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
431997;26055;621483;Genesis;46;4;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
431997;26055;621484;Genesis;46;4;CJT;qal;;JDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
431997;26055;621485;Genesis;46;4;CJT;qal;;<L <JNJK ;phrase;;;PP;Cmpl;complement;NA;*;;;
432272;27557;-1;Genesis;48;14;CJT;qal;JCT ;W JCT <L R>C >PRJM ;;;;;;;;;;;
432272;27557;622341;Genesis;48;14;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432272;27557;622342;Genesis;48;14;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
432272;27557;622343;Genesis;48;14;CJT;qal;;<L R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
432288;27640;-1;Genesis;48;17;CJT;qal;JCJT ;KJ JCJT >BJW JD JMJNW <L R>C >PRJM ;;;;;;;;;;;
432288;27640;622389;Genesis;48;17;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432288;27640;622390;Genesis;48;17;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
432288;27640;622391;Genesis;48;17;CJT;qal;;>BJW ;phrase;;;NP;Subj;core;NA;subject;;;
432288;27640;622392;Genesis;48;17;CJT;qal;;JD JMJNW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432288;27640;622393;Genesis;48;17;CJT;qal;;<L R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
433299;32273;-1;Exodus;7;23;CJT;qal;CT ;W L> CT LBW GM L Z>T ;;;;;;;;;;;
433299;32273;625310;Exodus;7;23;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433299;32273;625311;Exodus;7;23;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
433299;32273;625312;Exodus;7;23;CJT;qal;;CT ;phrase;;;VP;Pred;core;regular;NA;;;
433299;32273;625313;Exodus;7;23;CJT;qal;;LBW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
433299;32273;625314;Exodus;7;23;CJT;qal;;GM L Z>T ;phrase;;;PP;Cmpl;complement;NA;*;;;
