cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426874;1548;-1;Genesis;3;19;CWB;qal;CWBK ;<D CWBK >L H >DMH ;;;;;;;;;;;
426874;1548;606035;Genesis;3;19;CWB;qal;;<D CWBK ;phrase;;;VP;PreS;core;regular;subject;;;
426874;1548;606036;Genesis;3;19;CWB;qal;;>L H >DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
426877;1561;-1;Genesis;3;19;CWB;qal;TCWB ;W >L <PR TCWB ;;;;;;;;;;;
426877;1561;606043;Genesis;3;19;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426877;1561;606044;Genesis;3;19;CWB;qal;;>L <PR ;phrase;;;PP;Cmpl;complement;NA;*;;;
426877;1561;606045;Genesis;3;19;CWB;qal;;TCWB ;phrase;;;VP;Pred;core;regular;NA;;;
427220;3591;-1;Genesis;8;3;CWB;qal;JCBW ;W JCBW H MJM M <L H >RY HLWK W CWB ;;;;;;;;;;;
427220;3591;607140;Genesis;8;3;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427220;3591;607141;Genesis;8;3;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
427220;3591;607142;Genesis;8;3;CWB;qal;;H MJM ;phrase;;;NP;Adju;adjunct;NA;NA;;;
427220;3591;607143;Genesis;8;3;CWB;qal;;M <L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427220;3591;607144;Genesis;8;3;CWB;qal;;HLWK W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
427229;3678;-1;Genesis;8;7;CWB;qal;CWB ;W JY> JYW> W CWB ;;;;;;;;;;;
427229;3678;607176;Genesis;8;7;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427229;3678;607177;Genesis;8;7;CWB;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
427229;3678;607178;Genesis;8;7;CWB;qal;;JYW> W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
427229;3678;427230;Genesis;8;7;CWB;qal;;<D JBCT H MJM M <L H >RY ;clause;InfC;Adju;;;NA;NA;;;;
427235;3715;-1;Genesis;8;9;CWB;qal;TCB ;W TCB >LJW >L H TBH ;;;;;;;;;;;
427235;3715;607197;Genesis;8;9;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427235;3715;607198;Genesis;8;9;CWB;qal;;TCB ;phrase;;;VP;Pred;core;regular;NA;;;
427235;3715;607199;Genesis;8;9;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427235;3715;607200;Genesis;8;9;CWB;qal;;>L H TBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427250;3794;-1;Genesis;8;12;CWB;qal;CWB ;CWB >LJW <WD ;;;;;;;;;;;
427250;3794;607249;Genesis;8;12;CWB;qal;;CWB ;phrase;;;VP;Pred;core;regular;NA;;;
427250;3794;607250;Genesis;8;12;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427250;3794;607251;Genesis;8;12;CWB;qal;;<WD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
427678;6319;-1;Genesis;14;7;CWB;qal;JCBW ;W JCBW ;;;;;;;;;;;
427678;6319;608598;Genesis;14;7;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427678;6319;608599;Genesis;14;7;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
427709;6509;-1;Genesis;14;16;CWB;hif;JCB ;W JCB >T KL H RKC ;;;;;;;;;;;
427709;6509;608688;Genesis;14;16;CWB;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427709;6509;608689;Genesis;14;16;CWB;hif;;JCB ;phrase;;;VP;Pred;core;regular;NA;;;
427709;6509;608690;Genesis;14;16;CWB;hif;;>T KL H RKC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427710;6521;-1;Genesis;14;16;CWB;hif;HCJB ;W GM >T LWV >XJW W RKCW HCJB W GM >T H NCJM W >T H <M ;;;;;;;;;;;
427710;6521;608691;Genesis;14;16;CWB;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427710;6521;608692;Genesis;14;16;CWB;hif;;GM >T LWV >XJW W RKCW W GM >T H NCJM W >T H <M ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427710;6521;608693;Genesis;14;16;CWB;hif;;HCJB ;phrase;;;VP;Pred;core;regular;NA;;;
427713;6538;-1;Genesis;14;17;CWB;qal;CWBW ;>XRJ CWBW ;;;;;;;;;;;
427713;6538;608698;Genesis;14;17;CWB;qal;;>XRJ CWBW ;phrase;;;VP;PreS;core;regular;subject;;;
427713;6538;427714;Genesis;14;17;CWB;qal;;M HKWT >T KDR_L<MR W >T H MLKJM >L <MQ CWH ;clause;InfC;Adju;;;NA;NA;;;;
427805;6931;-1;Genesis;15;16;CWB;qal;JCWBW ;W DWR RBJ<J JCWBW HNH ;;;;;;;;;;;
427805;6931;608962;Genesis;15;16;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427805;6931;608963;Genesis;15;16;CWB;qal;;DWR RBJ<J ;phrase;;;NP;Subj;core;NA;subject;;;
427805;6931;608964;Genesis;15;16;CWB;qal;;JCWBW ;phrase;;;VP;Pred;core;regular;NA;;;
427805;6931;608965;Genesis;15;16;CWB;qal;;HNH ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
427856;7203;-1;Genesis;16;9;CWB;qal;CWBJ ;CWBJ >L GBRTK ;;;;;;;;;;;
427856;7203;609117;Genesis;16;9;CWB;qal;;CWBJ ;phrase;;;VP;Pred;core;regular;NA;;;
427856;7203;609118;Genesis;16;9;CWB;qal;;>L GBRTK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428008;7970;-1;Genesis;18;10;CWB;qal;CWB ;CWB >CWB >LJK K  <T XJH ;;;;;;;;;;;
428008;7970;609597;Genesis;18;10;CWB;qal;;CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428008;7970;609598;Genesis;18;10;CWB;qal;;>CWB ;phrase;;;VP;Pred;core;regular;NA;;;
428008;7970;609599;Genesis;18;10;CWB;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428008;7970;609600;Genesis;18;10;CWB;qal;;K  <T XJH ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
428027;8051;-1;Genesis;18;14;CWB;qal;>CWB ;L  MW<D >CWB >LJK K  <T XJH ;;;;;;;;;;;
