cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426723;825;-1;Genesis;2;8;FJM;qal;JFM ;W JFM CM >T H >DM ;;;;;;;;;;;
426723;825;605597;Genesis;2;8;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426723;825;605598;Genesis;2;8;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
426723;825;605599;Genesis;2;8;FJM;qal;;CM ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
426723;825;605600;Genesis;2;8;FJM;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426955;1918;-1;Genesis;4;15;FJM;qal;JFM ;W JFM JHWH L QJN >WT ;;;;;;;;;;;
426955;1918;606278;Genesis;4;15;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426955;1918;606279;Genesis;4;15;FJM;qal;;JFM ;phrase;;;VP;Adju;adjunct;NA;NA;;;
426955;1918;606280;Genesis;4;15;FJM;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
426955;1918;606281;Genesis;4;15;FJM;qal;;L QJN ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426955;1918;606282;Genesis;4;15;FJM;qal;;>WT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426955;1918;426956;Genesis;4;15;FJM;qal;;L BLTJ HKWT >TW KL MY>W ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
427130;2907;-1;Genesis;6;16;FJM;qal;TFJM ;W PTX H TBH B YDH TFJM ;;;;;;;;;;;
427130;2907;606844;Genesis;6;16;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427130;2907;606845;Genesis;6;16;FJM;qal;;PTX H TBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427130;2907;606846;Genesis;6;16;FJM;qal;;B YDH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
