cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426745;935;-1;Genesis;2;14;HLK;qal;HLK ;H HLK QDMT >CWR ;;;;;;;;;;;
426745;935;605655;Genesis;2;14;HLK;qal;;H ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
426745;935;605656;Genesis;2;14;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
426745;935;605657;Genesis;2;14;HLK;qal;;QDMT >CWR ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
426824;1321;-1;Genesis;3;8;HLK;hit;MTHLK ;MTHLK B  GN L RWX H JWM ;;;;;;;;;;;
426824;1321;605893;Genesis;3;8;HLK;hit;;MTHLK ;phrase;;;VP;PreC;core;regular;NA;;;
426824;1321;605894;Genesis;3;8;HLK;hit;;B  GN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
426824;1321;605895;Genesis;3;8;HLK;hit;;L RWX H JWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
426853;1449;-1;Genesis;3;14;HLK;qal;TLK ;<L GXNK TLK ;;;;;;;;;;;
426853;1449;605972;Genesis;3;14;HLK;qal;;<L GXNK ;phrase;;;PP;Cmpl;complement;NA;*;;;
426853;1449;605973;Genesis;3;14;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
427049;2424;-1;Genesis;5;22;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM CLC M>WT CNH ;;;;;;;;;;;
427049;2424;606578;Genesis;5;22;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427049;2424;606579;Genesis;5;22;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
427049;2424;606580;Genesis;5;22;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
427049;2424;606581;Genesis;5;22;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427049;2424;606584;Genesis;5;22;HLK;hit;;CLC M>WT CNH ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
427049;2424;427050;Genesis;5;22;HLK;hit;;>XRJ HWLJDW >T MTWCLX ;clause;InfC;Adju;;;NA;NA;;;;
427053;2455;-1;Genesis;5;24;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM ;;;;;;;;;;;
427053;2455;606592;Genesis;5;24;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427053;2455;606593;Genesis;5;24;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
427053;2455;606594;Genesis;5;24;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
427053;2455;606595;Genesis;5;24;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427109;2781;-1;Genesis;6;9;HLK;hit;HTHLK ;>T H >LHJM HTHLK NX ;;;;;;;;;;;
427109;2781;606771;Genesis;6;9;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427109;2781;606772;Genesis;6;9;HLK;hit;;HTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
427109;2781;606773;Genesis;6;9;HLK;hit;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
427196;3407;-1;Genesis;7;18;HLK;qal;TLK ;W TLK H TBH <L PNJ H MJM ;;;;;;;;;;;
