cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427444;5043;-1;Genesis;11;5;JRD;qal;JRD ;W JRD JHWH ;;;;;;;;;;;
427444;5043;607849;Genesis;11;5;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427444;5043;607850;Genesis;11;5;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
427444;5043;607851;Genesis;11;5;JRD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
427444;5043;427445;Genesis;11;5;JRD;qal;;L R>T >T H <JR W >T H MGDL ;clause;InfC;Adju;;;NA;NA;;;;
427457;5086;-1;Genesis;11;7;JRD;qal;NRDH ;NRDH ;;;;;;;;;;;
427457;5086;607879;Genesis;11;7;JRD;qal;;NRDH ;phrase;;;VP;Pred;core;regular;NA;;;
427562;5680;-1;Genesis;12;10;JRD;qal;JRD ;W JRD >BRM MYRJMH ;;;;;;;;;;;
427562;5680;608224;Genesis;12;10;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427562;5680;608225;Genesis;12;10;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
427562;5680;608226;Genesis;12;10;JRD;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427562;5680;608227;Genesis;12;10;JRD;qal;;MYRJMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427562;5680;427563;Genesis;12;10;JRD;qal;;L GWR CM ;clause;InfC;Adju;;;NA;NA;;;;
427788;6851;-1;Genesis;15;11;JRD;qal;JRD ;W JRD H <JV <L H PGRJM ;;;;;;;;;;;
427788;6851;608906;Genesis;15;11;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427788;6851;608907;Genesis;15;11;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
427788;6851;608908;Genesis;15;11;JRD;qal;;H <JV ;phrase;;;NP;Subj;core;NA;subject;;;
