cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426610;205;-1;Genesis;1;12;JY>;hif;TWY> ;W TWY> H >RY DC> <FB W <Y ;;;;;;;;;;;
426610;205;605263;Genesis;1;12;JY>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426610;205;605264;Genesis;1;12;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
426610;205;605265;Genesis;1;12;JY>;hif;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
426610;205;605266;Genesis;1;12;JY>;hif;;DC> <FB W <Y ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426659;449;-1;Genesis;1;24;JY>;hif;TWY> ;TWY> H >RY NPC XJH L MJNH ;;;;;;;;;;;
426659;449;605397;Genesis;1;24;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
426659;449;605398;Genesis;1;24;JY>;hif;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
426659;449;605399;Genesis;1;24;JY>;hif;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426659;449;605400;Genesis;1;24;JY>;hif;;L MJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426730;865;-1;Genesis;2;10;JY>;qal;JY> ;W NHR JY> M <DN ;;;;;;;;;;;
426730;865;605618;Genesis;2;10;JY>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426730;865;605619;Genesis;2;10;JY>;qal;;NHR ;phrase;;;NP;Subj;core;NA;subject;;;
426730;865;605620;Genesis;2;10;JY>;qal;;JY> ;phrase;;;VP;PreC;core;regular;NA;;;
426730;865;605621;Genesis;2;10;JY>;qal;;M <DN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
426730;865;426731;Genesis;2;10;JY>;qal;;L HCQWT >T H GN ;clause;InfC;Adju;;;NA;NA;;;;
426957;1930;-1;Genesis;4;16;JY>;qal;JY> ;W JY> QJN M L PNJ JHWH ;;;;;;;;;;;
426957;1930;606286;Genesis;4;16;JY>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426957;1930;606287;Genesis;4;16;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
426957;1930;606288;Genesis;4;16;JY>;qal;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
426957;1930;606289;Genesis;4;16;JY>;qal;;M L PNJ JHWH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427229;3675;-1;Genesis;8;7;JY>;qal;JY> ;W JY> JYW> W CWB ;;;;;;;;;;;
427229;3675;607176;Genesis;8;7;JY>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427229;3675;607177;Genesis;8;7;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
427229;3675;607178;Genesis;8;7;JY>;qal;;JYW> W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
427229;3675;427230;Genesis;8;7;JY>;qal;;<D JBCT H MJM M <L H >RY ;clause;InfC;Adju;;;NA;NA;;;;
427259;3859;-1;Genesis;8;16;JY>;qal;Y> ;Y> MN H TBH >TH W >CTK W BNJK W NCJ BNJK >TK ;;;;;;;;;;;
427259;3859;607280;Genesis;8;16;JY>;qal;;Y> ;phrase;;;VP;Pred;core;regular;NA;;;
427259;3859;607281;Genesis;8;16;JY>;qal;;MN H TBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427259;3859;607282;Genesis;8;16;JY>;qal;;>TH W >CTK W BNJK W NCJ BNJK >TK ;phrase;;;PPrP;Subj;core;NA;subject;;;
427260;3897;-1;Genesis;8;17;JY>;hif;HWY> ;KL H XJH M KL BFR B  <WP W B  BHMH W B KL H RMF HWY> >TK ;;;;;;;;;;;
427260;3897;607283;Genesis;8;17;JY>;hif;;KL H XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427260;3897;607286;Genesis;8;17;JY>;hif;;M KL BFR B  <WP W B  BHMH W B KL H RMF ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427260;3897;607290;Genesis;8;17;JY>;hif;;HWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427260;3897;607291;Genesis;8;17;JY>;hif;;>TK ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427266;3912;-1;Genesis;8;18;JY>;qal;JY> ;W JY> NX W BNJW W >CTW W NCJ BNJW >TW ;;;;;;;;;;;
427266;3912;607300;Genesis;8;18;JY>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427266;3912;607301;Genesis;8;18;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
427266;3912;607302;Genesis;8;18;JY>;qal;;NX W BNJW W >CTW W NCJ BNJW >TW ;phrase;;;PrNP;Subj;core;NA;subject;;;
427267;3939;-1;Genesis;8;19;JY>;qal;JY>W ;KL H XJH KL H RMF W KL H <WP KL L MCPXTJHM JY>W MN H TBH ;;;;;;;;;;;
427267;3939;607303;Genesis;8;19;JY>;qal;;KL H XJH KL H RMF W KL H <WP KL ;phrase;;;NP;Subj;core;NA;subject;;;
427267;3939;607306;Genesis;8;19;JY>;qal;;L MCPXTJHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427267;3939;607307;Genesis;8;19;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
427267;3939;607308;Genesis;8;19;JY>;qal;;MN H TBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427312;4209;-1;Genesis;9;10;JY>;qal;JY>J ;JY>J H TBH ;;;;;;;;;;;
