cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426945;1879;-1;Genesis;4;13;NF>;qal;NF> ;M NF> ;;;;;;;;;;;
426945;1879;606252;Genesis;4;13;NF>;qal;;M NF> ;phrase;;;VP;Pred;core;regular;NA;;;
427192;3386;-1;Genesis;7;17;NF>;qal;JF>W ;W JF>W >T H TBH ;;;;;;;;;;;
427192;3386;607046;Genesis;7;17;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427192;3386;607047;Genesis;7;17;NF>;qal;;JF>W ;phrase;;;VP;Pred;core;regular;NA;;;
427192;3386;607048;Genesis;7;17;NF>;qal;;>T H TBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427616;5955;-1;Genesis;13;6;NF>;qal;NF> ;W L> NF> >TM H >RY ;;;;;;;;;;;
427616;5955;608402;Genesis;13;6;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427616;5955;608403;Genesis;13;6;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
427616;5955;608404;Genesis;13;6;NF>;qal;;NF> ;phrase;;;VP;Pred;core;regular;NA;;;
427616;5955;608405;Genesis;13;6;NF>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427616;5955;608406;Genesis;13;6;NF>;qal;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
427616;5955;427617;Genesis;13;6;NF>;qal;;L CBT JXDW ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
427632;6040;-1;Genesis;13;10;NF>;qal;JF> ;W JF> LWV >T <JNJW ;;;;;;;;;;;
427632;6040;608455;Genesis;13;10;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427632;6040;608456;Genesis;13;10;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
427632;6040;608457;Genesis;13;10;NF>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
427632;6040;608458;Genesis;13;10;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427647;6126;-1;Genesis;13;14;NF>;qal;F> ;F> N> <JNJK ;;;;;;;;;;;
427647;6126;608507;Genesis;13;14;NF>;qal;;F> ;phrase;;;VP;Pred;core;regular;NA;;;
427647;6126;608508;Genesis;13;14;NF>;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
427647;6126;608509;Genesis;13;14;NF>;qal;;<JNJK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427967;7819;-1;Genesis;18;2;NF>;qal;JF> ;W JF> <JNJW ;;;;;;;;;;;
427967;7819;609486;Genesis;18;2;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427967;7819;609487;Genesis;18;2;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
427967;7819;609488;Genesis;18;2;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428071;8218;-1;Genesis;18;24;NF>;qal;TF> ;W L> TF> L  MQWM LM<N XMCJM H YDJQM ;;;;;;;;;;;
428071;8218;609773;Genesis;18;24;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428071;8218;609774;Genesis;18;24;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428071;8218;609775;Genesis;18;24;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
428071;8218;609776;Genesis;18;24;NF>;qal;;L  MQWM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428071;8218;609777;Genesis;18;24;NF>;qal;;LM<N XMCJM H YDJQM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428081;8275;-1;Genesis;18;26;NF>;qal;NF>TJ ;W NF>TJ L KL H MQWM B <BWRM ;;;;;;;;;;;
428081;8275;609806;Genesis;18;26;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428081;8275;609807;Genesis;18;26;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
