cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426772;1079;-1;Genesis;2;21;NPL;hif;JPL ;W JPL JHWH >LHJM TRDMH <L H >DM ;;;;;;;;;;;
426772;1079;605733;Genesis;2;21;NPL;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426772;1079;605734;Genesis;2;21;NPL;hif;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
426772;1079;605735;Genesis;2;21;NPL;hif;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
426772;1079;605736;Genesis;2;21;NPL;hif;;TRDMH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426772;1079;605737;Genesis;2;21;NPL;hif;;<L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
426912;1752;-1;Genesis;4;5;NPL;qal;JPLW ;W JPLW PNJW ;;;;;;;;;;;
426912;1752;606155;Genesis;4;5;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426912;1752;606156;Genesis;4;5;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
426912;1752;606157;Genesis;4;5;NPL;qal;;PNJW ;phrase;;;NP;Subj;core;NA;subject;;;
426915;1764;-1;Genesis;4;6;NPL;qal;NPLW ;W LMH NPLW PNJK ;;;;;;;;;;;
426915;1764;606165;Genesis;4;6;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426915;1764;606166;Genesis;4;6;NPL;qal;;LMH ;phrase;;;InrP;Ques;NA;NA;NA;;NA;NA
426915;1764;606167;Genesis;4;6;NPL;qal;;NPLW ;phrase;;;VP;Pred;core;regular;NA;;;
426915;1764;606168;Genesis;4;6;NPL;qal;;PNJK ;phrase;;;NP;Subj;core;NA;subject;;;
427690;6403;-1;Genesis;14;10;NPL;qal;JPLW ;W JPLW CMH ;;;;;;;;;;;
427690;6403;608630;Genesis;14;10;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427690;6403;608631;Genesis;14;10;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427690;6403;608632;Genesis;14;10;NPL;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427792;6869;-1;Genesis;15;12;NPL;qal;NPLH ;W TRDMH NPLH <L >BRM ;;;;;;;;;;;
427792;6869;608918;Genesis;15;12;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427792;6869;608919;Genesis;15;12;NPL;qal;;TRDMH ;phrase;;;NP;Subj;core;NA;subject;;;
