cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426630;315;-1;Genesis;1;17;NTN;qal;JTN ;W JTN >TM >LHJM B RQJ< H CMJM ;;;;;;;;;;;
426630;315;605317;Genesis;1;17;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426630;315;605318;Genesis;1;17;NTN;qal;;JTN ;phrase;;;VP;Pred;core;regular;NA;;;
426630;315;605319;Genesis;1;17;NTN;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
426630;315;605320;Genesis;1;17;NTN;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426630;315;605321;Genesis;1;17;NTN;qal;;B RQJ< H CMJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
426630;315;426631;Genesis;1;17;NTN;qal;;L H>JR <L H >RY ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
426683;594;-1;Genesis;1;29;NTN;qal;NTTJ ;HNH NTTJ LKM >T KL <FB W >T KL H <Y ;;;;;;;;;;;
426683;594;605471;Genesis;1;29;NTN;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
426683;594;605472;Genesis;1;29;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
426683;594;605473;Genesis;1;29;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
426683;594;605474;Genesis;1;29;NTN;qal;;>T KL <FB W >T KL H <Y ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426816;1291;-1;Genesis;3;6;NTN;qal;TTN ;W TTN GM L >JCH <MH ;;;;;;;;;;;
426816;1291;605869;Genesis;3;6;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426816;1291;605870;Genesis;3;6;NTN;qal;;TTN ;phrase;;;VP;Pred;core;regular;NA;;;
426816;1291;605871;Genesis;3;6;NTN;qal;;GM L >JCH ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
426816;1291;605872;Genesis;3;6;NTN;qal;;<MH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426842;1396;-1;Genesis;3;12;NTN;qal;NTTH ;>CR NTTH <MDJ ;;;;;;;;;;;
426842;1396;605940;Genesis;3;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
426842;1396;605941;Genesis;3;12;NTN;qal;;NTTH ;phrase;;;VP;Pred;core;regular;NA;;;
426842;1396;605942;Genesis;3;12;NTN;qal;;<MDJ ;phrase;;;PP;Cmpl;complement;NA;*;;;
426843;1399;-1;Genesis;3;12;NTN;qal;NTNH ;HW> NTNH LJ MN H <Y ;;;;;;;;;;;
426843;1399;605943;Genesis;3;12;NTN;qal;;HW> ;phrase;;;PPrP;Subj;core;NA;subject;;;
426843;1399;605944;Genesis;3;12;NTN;qal;;NTNH ;phrase;;;VP;Pred;core;regular;NA;;;
426843;1399;605945;Genesis;3;12;NTN;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426843;1399;605946;Genesis;3;12;NTN;qal;;MN H <Y ;phrase;;;PP;Cmpl;complement;NA;*;;;
426941;1861;-1;Genesis;4;12;NTN;qal;TT ;TT KXH LK ;;;;;;;;;;;
426941;1861;606240;Genesis;4;12;NTN;qal;;TT ;phrase;;;VP;Pred;core;regular;NA;;;
426941;1861;606241;Genesis;4;12;NTN;qal;;KXH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426941;1861;606242;Genesis;4;12;NTN;qal;;LK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427289;4085;-1;Genesis;9;2;NTN;nif;NTNW ;B JDKM NTNW ;;;;;;;;;;;
427289;4085;607373;Genesis;9;2;NTN;nif;;B JDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427289;4085;607374;Genesis;9;2;NTN;nif;;NTNW ;phrase;;;VP;Pred;core;regular;NA;;;
427293;4098;-1;Genesis;9;3;NTN;qal;NTTJ ;K JRQ <FB NTTJ LKM >T KL ;;;;;;;;;;;
427293;4098;607382;Genesis;9;3;NTN;qal;;K JRQ <FB ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427293;4098;607383;Genesis;9;3;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
427293;4098;607384;Genesis;9;3;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427293;4098;607385;Genesis;9;3;NTN;qal;;>T KL ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427319;4250;-1;Genesis;9;12;NTN;qal;NTN ;>CR >NJ NTN BJNJ W BJNJKM W BJN KL NPC XJH ;;;;;;;;;;;
427319;4250;607459;Genesis;9;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427319;4250;607460;Genesis;9;12;NTN;qal;;>NJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
427319;4250;607461;Genesis;9;12;NTN;qal;;NTN ;phrase;;;VP;PreC;core;regular;NA;;;
427319;4250;607462;Genesis;9;12;NTN;qal;;BJNJ W BJNJKM W BJN KL NPC XJH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427321;4266;-1;Genesis;9;13;NTN;qal;NTTJ ;>T QCTJ NTTJ B  <NN ;;;;;;;;;;;
427321;4266;607466;Genesis;9;13;NTN;qal;;>T QCTJ ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427321;4266;607467;Genesis;9;13;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
427321;4266;607468;Genesis;9;13;NTN;qal;;B  <NN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
