cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427689;6397;-1;Genesis;14;10;NWS;qal;JNSW ;W JNSW MLK SDM W <MRH ;;;;;;;;;;;
427689;6397;608627;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427689;6397;608628;Genesis;14;10;NWS;qal;;JNSW ;phrase;;;VP;Pred;core;regular;NA;;;
427689;6397;608629;Genesis;14;10;NWS;qal;;MLK SDM W <MRH ;phrase;;;NP;Subj;core;NA;subject;;;
427691;6409;-1;Genesis;14;10;NWS;qal;NSW ;W H NC>RJM HRH NSW ;;;;;;;;;;;
427691;6409;608633;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427691;6409;608634;Genesis;14;10;NWS;qal;;H NC>RJM ;phrase;;;NP;Subj;core;NA;subject;;;
427691;6409;608635;Genesis;14;10;NWS;qal;;HRH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427691;6409;608636;Genesis;14;10;NWS;qal;;NSW ;phrase;;;VP;Pred;core;regular;NA;;;
428227;8876;-1;Genesis;19;20;NWS;qal;NWS ;L NWS CMH ;;;;;;;;;;;
428227;8876;610221;Genesis;19;20;NWS;qal;;L NWS ;phrase;;;VP;Pred;core;regular;NA;;;
428227;8876;610222;Genesis;19;20;NWS;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
431026;21688;-1;Genesis;39;12;NWS;qal;JNS ;W JNS ;;;;;;;;;;;
431026;21688;618589;Genesis;39;12;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431026;21688;618590;Genesis;39;12;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431031;21703;-1;Genesis;39;13;NWS;qal;JNS ;W JNS H XWYH ;;;;;;;;;;;
431031;21703;618601;Genesis;39;13;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431031;21703;618602;Genesis;39;13;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431031;21703;618603;Genesis;39;13;NWS;qal;;H XWYH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
431046;21748;-1;Genesis;39;15;NWS;qal;JNS ;W JNS ;;;;;;;;;;;
431046;21748;618636;Genesis;39;15;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431046;21748;618637;Genesis;39;15;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431059;21796;-1;Genesis;39;18;NWS;qal;JNS ;W JNS H XWYH ;;;;;;;;;;;
