cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428381;9624;-1;Genesis;21;1;PQD;qal;PQD ;W JHWH PQD >T FRH ;;;;;;;;;;;
428381;9624;610705;Genesis;21;1;PQD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428381;9624;610706;Genesis;21;1;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
428381;9624;610707;Genesis;21;1;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
428381;9624;610708;Genesis;21;1;PQD;qal;;>T FRH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
430982;21477;-1;Genesis;39;4;PQD;hif;JPQDHW ;W JPQDHW <L BJTW ;;;;;;;;;;;
430982;21477;618451;Genesis;39;4;PQD;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430982;21477;618452;Genesis;39;4;PQD;hif;;JPQDHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
430982;21477;618453;Genesis;39;4;PQD;hif;;<L BJTW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430986;21491;-1;Genesis;39;5;PQD;hif;HPQJD ;M >Z HPQJD >TW B BJTW W <L KL ;;;;;;;;;;;
430986;21491;618462;Genesis;39;5;PQD;hif;;M >Z ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430986;21491;618463;Genesis;39;5;PQD;hif;;HPQJD ;phrase;;;VP;Pred;core;regular;NA;;;
430986;21491;618464;Genesis;39;5;PQD;hif;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
430986;21491;618465;Genesis;39;5;PQD;hif;;B BJTW W <L KL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
431086;21966;-1;Genesis;40;4;PQD;qal;JPQD ;W JPQD FR H VBXJM >T JWSP >TM ;;;;;;;;;;;
431086;21966;618762;Genesis;40;4;PQD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431086;21966;618763;Genesis;40;4;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
431086;21966;618764;Genesis;40;4;PQD;qal;;FR H VBXJM ;phrase;;;NP;Subj;core;NA;subject;;;
431086;21966;618765;Genesis;40;4;PQD;qal;;>T JWSP ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431086;21966;618766;Genesis;40;4;PQD;qal;;>TM ;phrase;;;PP;Cmpl;complement;NA;*;;;
431273;22960;-1;Genesis;41;34;PQD;hif;JPQD ;W JPQD PQDJM <L H >RY ;;;;;;;;;;;
