cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426579;59;-1;Genesis;1;5;QR>;qal;JQR> ;W JQR> >LHJM L  >WR JWM ;;;;;;;;;;;
426579;59;605167;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426579;59;605168;Genesis;1;5;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
426579;59;605169;Genesis;1;5;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426579;59;605170;Genesis;1;5;QR>;qal;;L  >WR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426579;59;605171;Genesis;1;5;QR>;qal;;JWM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426580;69;-1;Genesis;1;5;QR>;qal;QR> ;W L  XCK QR> LJLH ;;;;;;;;;;;
426580;69;605172;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426580;69;605173;Genesis;1;5;QR>;qal;;L  XCK ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426580;69;605174;Genesis;1;5;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
426580;69;605175;Genesis;1;5;QR>;qal;;LJLH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426592;126;-1;Genesis;1;8;QR>;qal;JQR> ;W JQR> >LHJM L  RQJ< CMJM ;;;;;;;;;;;
426592;126;605207;Genesis;1;8;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426592;126;605208;Genesis;1;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
426592;126;605209;Genesis;1;8;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426592;126;605210;Genesis;1;8;QR>;qal;;L  RQJ< ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426592;126;605211;Genesis;1;8;QR>;qal;;CMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426600;161;-1;Genesis;1;10;QR>;qal;JQR> ;W JQR> >LHJM L  JBCH >RY ;;;;;;;;;;;
426600;161;605231;Genesis;1;10;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426600;161;605232;Genesis;1;10;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
426600;161;605233;Genesis;1;10;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426600;161;605234;Genesis;1;10;QR>;qal;;L  JBCH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426600;161;605235;Genesis;1;10;QR>;qal;;>RY ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426601;172;-1;Genesis;1;10;QR>;qal;QR> ;W L MQWH H MJM QR> JMJM ;;;;;;;;;;;
426601;172;605236;Genesis;1;10;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426601;172;605237;Genesis;1;10;QR>;qal;;L MQWH H MJM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
426601;172;605238;Genesis;1;10;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
426601;172;605239;Genesis;1;10;QR>;qal;;JMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
426766;1037;-1;Genesis;2;19;QR>;qal;JQR> ;MH JQR> LW ;;;;;;;;;;;
426766;1037;605711;Genesis;2;19;QR>;qal;;MH ;phrase;;;IPrP;Objc;complement;NA;direct_object;;;
426766;1037;605712;Genesis;2;19;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
426766;1037;605713;Genesis;2;19;QR>;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
426768;1042;-1;Genesis;2;19;QR>;qal;JQR> ;>CR JQR> LW H >DM NPC XJH ;;;;;;;;;;;
426768;1042;605716;Genesis;2;19;QR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
