cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427253;3821;-1;Genesis;8;13;SWR;hif;JSR ;W JSR NX >T MKSH H TBH ;;;;;;;;;;;
427253;3821;607260;Genesis;8;13;SWR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427253;3821;607261;Genesis;8;13;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
427253;3821;607262;Genesis;8;13;SWR;hif;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
427253;3821;607263;Genesis;8;13;SWR;hif;;>T MKSH H TBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428131;8455;-1;Genesis;19;2;SWR;qal;SWRW ;SWRW N> >L BJT <BDKM ;;;;;;;;;;;
428131;8455;609944;Genesis;19;2;SWR;qal;;SWRW ;phrase;;;VP;Pred;core;regular;NA;;;
428131;8455;609945;Genesis;19;2;SWR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428131;8455;609946;Genesis;19;2;SWR;qal;;>L BJT <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428140;8484;-1;Genesis;19;3;SWR;qal;JSRW ;W JSRW >LJW ;;;;;;;;;;;
428140;8484;609967;Genesis;19;3;SWR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428140;8484;609968;Genesis;19;3;SWR;qal;;JSRW ;phrase;;;VP;Pred;core;regular;NA;;;
428140;8484;609969;Genesis;19;3;SWR;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429827;16098;-1;Genesis;30;32;SWR;hif;HSR ;HSR M CM KL FH NQD W VLW> W KL FH XWM B  KFBJM W VLW> W NQD B  <ZJM ;;;;;;;;;;;
429827;16098;615034;Genesis;30;32;SWR;hif;;HSR ;phrase;;;VP;Pred;core;regular;NA;;;
