cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427216;3565;-1;Genesis;8;1;<BR;hif;J<BR ;W J<BR >LHJM RWX <L H >RY ;;;;;;;;;;;
427216;3565;607125;Genesis;8;1;<BR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427216;3565;607126;Genesis;8;1;<BR;hif;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
427216;3565;607127;Genesis;8;1;<BR;hif;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427216;3565;607128;Genesis;8;1;<BR;hif;;RWX ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427216;3565;607129;Genesis;8;1;<BR;hif;;<L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427547;5591;-1;Genesis;12;6;<BR;qal;J<BR ;W J<BR >BRM B  >RY <D MQWM CKM <D >LWN MWRH ;;;;;;;;;;;
427547;5591;608168;Genesis;12;6;<BR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427547;5591;608169;Genesis;12;6;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
427547;5591;608170;Genesis;12;6;<BR;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427547;5591;608171;Genesis;12;6;<BR;qal;;B  >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427547;5591;608172;Genesis;12;6;<BR;qal;;<D MQWM CKM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427547;5591;608173;Genesis;12;6;<BR;qal;;<D >LWN MWRH ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427811;6957;-1;Genesis;15;17;<BR;qal;<BR ;>CR <BR BJN H GZRJM H >LH ;;;;;;;;;;;
427811;6957;608981;Genesis;15;17;<BR;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427811;6957;608982;Genesis;15;17;<BR;qal;;<BR ;phrase;;;VP;Pred;core;regular;NA;;;
427811;6957;608983;Genesis;15;17;<BR;qal;;BJN H GZRJM H >LH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427977;7853;-1;Genesis;18;3;<BR;qal;T<BR ;>L N> T<BR M <L <BDK ;;;;;;;;;;;
427977;7853;609513;Genesis;18;3;<BR;qal;;>L ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
427977;7853;609514;Genesis;18;3;<BR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
427977;7853;609515;Genesis;18;3;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
427977;7853;609516;Genesis;18;3;<BR;qal;;M <L <BDK ;phrase;;;PP;Cmpl;complement;NA;*;;;
427983;7877;-1;Genesis;18;5;<BR;qal;T<BRW ;>XR T<BRW ;;;;;;;;;;;
427983;7877;609532;Genesis;18;5;<BR;qal;;>XR ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
427983;7877;609533;Genesis;18;5;<BR;qal;;T<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
427984;7881;-1;Genesis;18;5;<BR;qal;<BRTM ;KJ <L KN <BRTM <L <BDKM ;;;;;;;;;;;
427984;7881;609534;Genesis;18;5;<BR;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427984;7881;609535;Genesis;18;5;<BR;qal;;<L KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427984;7881;609536;Genesis;18;5;<BR;qal;;<BRTM ;phrase;;;VP;Pred;core;regular;NA;;;
