cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426587;96;-1;Genesis;1;7;<FH;qal;J<F ;W J<F >LHJM >T H RQJ< ;;;;;;;;;;;
426587;96;605193;Genesis;1;7;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426587;96;605194;Genesis;1;7;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
426587;96;605195;Genesis;1;7;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
426587;96;605196;Genesis;1;7;<FH;qal;;>T H RQJ< ;phrase;;;PP;Objc;complement;NA;direct_object;;;
426607;191;-1;Genesis;1;11;<FH;qal;<FH ;<FH PRJ L MJNW <L H >RY ;;;;;;;;;;;
426607;191;605253;Genesis;1;11;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
426607;191;605254;Genesis;1;11;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426607;191;605255;Genesis;1;11;<FH;qal;;L MJNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426607;191;605259;Genesis;1;11;<FH;qal;;<L H >RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
426612;216;-1;Genesis;1;12;<FH;qal;<FH ;<FH PRJ L MJNHW ;;;;;;;;;;;
426612;216;605270;Genesis;1;12;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
426612;216;605271;Genesis;1;12;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
426612;216;605275;Genesis;1;12;<FH;qal;;L MJNHW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
426626;283;-1;Genesis;1;16;<FH;qal;J<F ;W J<F >LHJM >T CNJ H M>RT H GDLJM ;;;;;;;;;;;
426626;283;605308;Genesis;1;16;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426626;283;605309;Genesis;1;16;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
426626;283;605310;Genesis;1;16;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
