cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
426717;780;-1;Genesis;2;6;<LH;qal;J<LH ;W >D J<LH MN H >RY ;;;;;;;;;;;
426717;780;605571;Genesis;2;6;<LH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
426717;780;605572;Genesis;2;6;<LH;qal;;>D ;phrase;;;NP;Subj;core;NA;subject;;;
426717;780;605573;Genesis;2;6;<LH;qal;;J<LH ;phrase;;;VP;Pred;core;regular;NA;;;
426717;780;605574;Genesis;2;6;<LH;qal;;MN H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427271;3965;-1;Genesis;8;20;<LH;hif;J<L ;W J<L <LT B  MZBX ;;;;;;;;;;;
427271;3965;607317;Genesis;8;20;<LH;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427271;3965;607318;Genesis;8;20;<LH;hif;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
427271;3965;607319;Genesis;8;20;<LH;hif;;<LT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427271;3965;607320;Genesis;8;20;<LH;hif;;B  MZBX ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427605;5867;-1;Genesis;13;1;<LH;qal;J<L ;W J<L >BRM M MYRJM HW> W >CTW W KL H NGBH ;;;;;;;;;;;
427605;5867;608358;Genesis;13;1;<LH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427605;5867;608359;Genesis;13;1;<LH;qal;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
427605;5867;608360;Genesis;13;1;<LH;qal;;>BRM HW> W >CTW W KL ;phrase;;;PrNP;Subj;core;NA;subject;;;
427605;5867;608361;Genesis;13;1;<LH;qal;;M MYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427605;5867;608367;Genesis;13;1;<LH;qal;;H NGBH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427954;7709;-1;Genesis;17;22;<LH;qal;J<L ;W J<L >LHJM M <L >BRHM ;;;;;;;;;;;
427954;7709;609442;Genesis;17;22;<LH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
